,Protein,Subgraph,Degree,Information,Betweenness,Network,isoelectric point,negatively charged particle,positively charged particle,absorbance,Pred_Cluster
24,YBR217W,4160000000000000.0,91,4.064801999999999,204270.47,7.0811367,6.31891,22,21,0.56075,10
25,YFR053C,4120000000000000.0,95,4.072236,230527.62,3.4819193,5.280819999999999,71,57,0.86234,10
26,YDL047W,4000000000000000.0,86,4.054494999999999,201580.34,7.291072,5.23273,41,29,1.55077,-1
27,YDL059C,3880000000000000.0,67,4.0023093,71148.766,4.2245235,8.75409,26,30,1.41703,11
28,YGR040W,3860000000000000.0,79,4.0379505,98235.42,4.421875,5.4008199999999995,54,42,1.31407,11
29,YOL133W,3650000000000000.0,102,4.0839057,284593.56,15.7726345,5.49481,18,14,2.44805,-1
30,YJL008C,3460000000000000.0,75,4.027248999999999,76520.38,4.189533,5.51996,75,63,0.36717,12
31,YOL055C,3440000000000000.0,93,4.068592,190798.39,3.8632142999999997,5.81232,69,59,1.19947,12
32,YER133W,3320000000000000.0,124,4.1126,386093.25,28.042927000000002,5.31195,45,38,1.04075,-1
33,YNL189W,3300000000000000.0,216,4.170744399999999,1161080.9,29.872606,4.80072,76,56,0.94936,-1
34,YER177W,3280000000000000.0,99,4.079115,245660.66,10.485182,4.8179300000000005,45,28,0.96806,13
35,YKL152C,3280000000000000.0,89,4.060816,164393.44,3.264326,8.81293,33,36,1.48181,13
36,YFR028C,3220000000000000.0,97,4.07566,294066.72,18.636915,8.040339999999999,59,61,0.8749600000000001,14
37,YER171W,3190000000000000.0,63,3.9877187999999997,51601.094000000005,4.918389299999999,5.41156,119,99,0.81077,14
38,YDL017W,3120000000000000.0,81,4.0429354,230429.03,7.959162700000001,5.59161,71,59,1.31817,15
39,YBR017C,3090000000000000.0,94,4.0704737,222975.44,3.7297835,4.49969,134,67,0.9576600000000001,15
40,YKR026C,2960000000000000.0,83,4.047619,161364.3,6.9828963,5.19025,41,31,0.72844,16
41,YPL204W,2940000000000000.0,120,4.108215,378200.7,14.321556,9.31451,51,65,0.99225,16
42,YBR160W,2930000000000000.0,229,4.1753035,1258946.4,30.278006,8.50323,39,42,1.22926,16
43,YBR055C,2880000000000000.0,106,4.089995,238721.66,8.610405,8.19635,126,130,1.32484,17
44,YHR135C,2850000000000000.0,84,4.049944,156953.45,6.270643700000001,9.09625,53,63,0.9440200000000001,17
45,YDL200C,2840000000000000.0,51,3.9310927,36363.367,3.3179865,8.9494,22,27,1.02007,17
46,YPL235W,2730000000000000.0,76,4.030012999999999,185793.67,8.436460499999999,5.21124,69,55,0.34237,18
47,YGR092W,2650000000000000.0,56,3.9574172,52274.405999999995,5.432039700000001,8.86163,74,82,0.9676899999999999,18
48,YLR044C,2580000000000000.0,64,3.9915602,86894.05,4.447523,5.79584,59,50,1.04611,18
49,YOR212W,2550000000000000.0,59,3.9710984,90367.18,3.0980756,5.78656,44,38,1.48055,18
50,YOR181W,2440000000000000.0,71,4.015415,253017.56,8.349615,9.252989999999999,48,55,0.4886,19
51,YMR049C,2430000000000000.0,84,4.049944,167466.97,20.902716,5.0372900000000005,146,107,1.2851700000000001,19
52,YGR262C,2420000000000000.0,60,3.975493,131363.53,3.4605997000000004,8.81439,31,35,1.52843,19
53,YMR059W,2420000000000000.0,80,4.0405293,128920.625,5.5806727,6.27765,15,14,1.2558799999999999,19
54,YER173W,2310000000000000.0,43,3.8779418,25187.266,3.7493547999999994,6.00421,92,84,0.9397700000000001,20
55,YGL190C,2290000000000000.0,66,3.998817,138083.73,5.380455,5.95782,69,60,0.93821,20
56,YDR171W,2270000000000000.0,61,3.9797077000000005,90105.97,2.3120152999999997,4.98615,66,43,0.83811,20
57,YPL140C,2260000000000000.0,52,3.9367256,72589.766,5.1427045,8.8172,57,64,0.9702799999999999,20
58,YJL034W,2220000000000000.0,65,3.9952669999999997,133009.08,2.322693,4.787780000000001,114,80,0.4357,20
59,YGR254W,2170000000000000.0,67,4.0023093,74511.31,3.5919602,6.15509,56,51,0.8765299999999999,21
60,YER179W,2150000000000000.0,50,3.9252599999999997,74039.96,3.0043986,5.670719999999999,45,39,0.38676,21
61,YPL240C,2130000000000000.0,63,3.9877187999999997,89810.805,8.569055,4.84198,142,104,0.7038800000000001,21
62,YDR142C,2050000000000000.0,53,3.9422092000000006,70437.35,4.3809853,8.58954,33,37,1.80224,21
63,YLR291C,1920000000000000.0,70,4.0122695,131145.4,6.134378,7.74078,42,43,0.54723,22
64,YJL130C,1910000000000000.0,50,3.9252599999999997,32687.867000000002,2.3584037,5.56818,276,230,0.81243,22
65,YDR523C,1910000000000000.0,45,3.8928665999999996,34296.918,2.3091729,7.550110000000001,64,65,0.89438,22
66,YGL206C,1880000000000000.0,64,3.9915602,100620.21,3.8461550000000004,5.11371,227,170,0.9776600000000001,22
67,YJR077C,1840000000000000.0,48,3.9131224000000002,50199.47,1.8006061000000002,9.355039999999999,17,26,0.60177,23
68,YOR351C,1830000000000000.0,40,3.8530462,43225.585999999996,3.4007992999999996,8.07672,62,65,1.05684,23
69,YCR002C,1820000000000000.0,44,3.885575,16915.566000000003,6.516043,5.49786,47,38,0.70291,23
70,YDL043C,1740000000000000.0,67,4.0023093,143069.52,4.294077,8.193660000000001,35,37,0.78274,24
71,YGL048C,1690000000000000.0,52,3.9367256,55953.69,11.180989,9.08636,55,63,0.27435,24
72,YGR240C,1680000000000000.0,44,3.885575,79178.47,4.48159,5.98016,126,112,0.91499,24
73,YDL225W,1620000000000000.0,43,3.8779418,22229.754,5.424703,5.4007,84,70,0.47246000000000005,25
74,YDL055C,1600000000000000.0,49,3.9192991000000004,46019.637,1.457287,5.9538,44,40,0.8031,25
75,YPL061W,1590000000000000.0,49,3.9192991000000004,47592.047,1.3699112,5.31476,63,54,0.8585200000000001,25
76,YJL173C,1510000000000000.0,42,3.8698623,31740.85,2.3362818,4.71466,17,12,0.74879,26
77,YDR128W,1500000000000000.0,41,3.8617712999999996,37730.676,3.8403733,5.606380000000001,156,128,1.5720299999999998,26
78,YDL145C,1480000000000000.0,51,3.9310927,68011.15,9.23121,5.66119,161,134,1.1982899999999999,27
79,YNL135C,1470000000000000.0,57,3.9622339999999996,77812.82,2.5573884999999996,5.72162,12,11,0.83034,27
80,YDL229W,1460000000000000.0,48,3.9131224000000002,38685.176,2.8153727,5.3186599999999995,88,76,0.28956,27
81,YCL040W,1450000000000000.0,55,3.9524896000000003,84811.69,1.936318,5.79547,65,54,0.56423,27
82,YPR111W,1400000000000000.0,34,3.7920727999999997,34482.035,2.7320416,8.67792,79,85,1.0621,28
83,YJL098W,1400000000000000.0,59,3.9710984,96077.96,6.1743239999999995,4.30096,234,102,0.76927,28
84,YLR175W,1390000000000000.0,56,3.9574172,107386.3,7.1197029999999994,9.015080000000001,79,92,1.0051299999999999,28
85,YML124C,1380000000000000.0,37,3.824644,18432.852,0.9650383,5.0534099999999995,64,44,1.04008,28
86,YOR374W,1350000000000000.0,39,3.8440123,43303.367,0.6717468000000001,6.305969999999999,59,56,0.9686600000000001,29
87,YDR099W,1350000000000000.0,71,4.015415,165277.8,6.775835000000001,4.82111,45,29,0.93381,29
88,YGL237C,1330000000000000.0,57,3.9622339999999996,119694.805,3.8461665999999997,8.634089999999999,34,36,0.34922,30
89,YJL106W,1330000000000000.0,36,3.8142917,53817.89,2.008759,5.18427,92,61,0.75002,30
90,YBR019C,1320000000000000.0,45,3.8928665999999996,50582.676,0.77039534,5.655819999999999,84,71,1.18116,31
91,YCR009C,1320000000000000.0,41,3.8617712999999996,21008.63,3.5715769999999996,6.2409099999999995,42,41,0.7852899999999999,31
92,YDL101C,1310000000000000.0,55,3.9524896000000003,86809.664,3.766461,7.9614899999999995,66,68,0.79888,32
93,YOL139C,1310000000000000.0,54,3.9474416,64477.207,6.8572545,5.29108,35,26,1.93701,32
94,YAL021C,1300000000000000.0,40,3.8530462,31287.172000000002,7.1103625,6.36664,85,77,1.00207,32
95,YPL150W,1280000000000000.0,31,3.7539133999999996,15653.021999999999,0.26666668,9.44318,102,133,0.7832,33
96,YOL115W,1280000000000000.0,39,3.8440123,67271.41,1.5750351999999999,5.3070699999999995,103,79,0.7832100000000001,33
97,YGL004C,1270000000000000.0,42,3.8698623,9162.269,12.416358,5.06146,58,40,0.7574,33
98,YBR288C,1260000000000000.0,28,3.7088745000000003,27114.28,2.5388889999999997,6.10577,57,52,0.9605799999999999,33
99,YNR031C,1250000000000000.0,35,3.80336,21000.66,3.565858,5.61224,208,180,1.14856,33
100,YMR284W,1230000000000000.0,25,3.6550762999999997,8523.976,3.1964285,6.00726,95,89,0.90096,34
101,YJL066C,1230000000000000.0,46,3.8998218000000002,59299.36,1.5548534,5.58905,37,32,1.2364,34
102,YDR227W,1210000000000000.0,34,3.7920727999999997,38920.31,2.9417195,9.03192,185,206,0.4269,34
103,YFL018C,1160000000000000.0,49,3.9192986000000003,71076.38,1.6140378999999998,8.07428,62,64,0.38928,35
104,YFL016C,1160000000000000.0,32,3.7673379999999996,22164.222999999998,2.7531237999999996,9.306460000000001,53,71,0.56911,35
105,YJL052W,1140000000000000.0,44,3.885575,27136.812,1.2393655000000001,8.289,37,39,0.9686799999999999,36
106,YDR386W,1130000000000000.0,57,3.9622339999999996,88605.33,2.8188817999999998,8.69171,89,98,0.8544,36
107,YIL035C,1120000000000000.0,97,4.07566,217585.69,19.193378,8.628969999999999,54,58,1.6014,36
108,YBR109C,1100000000000000.0,84,4.049944,285907.28,4.376714700000001,4.17865,30,11,0.0,-1
109,YNL061W,1080000000000000.0,61,3.9797077000000005,75032.07,18.6011,4.95441,122,90,0.43281000000000003,-1
110,YER091C,1060000000000000.0,37,3.824644,19961.715,1.2403202,6.06635,101,94,1.01475,37
111,YNL290W,1050000000000000.0,34,3.7920727999999997,35883.266,6.479189,6.06683,49,46,0.73332,37
112,YJL128C,1050000000000000.0,42,3.8698623,51480.914000000004,2.5447922000000003,9.09601,63,74,0.48941999999999997,37
113,YMR186W,1040000000000000.0,52,3.9367256,65608.78,4.533105,4.77911,142,100,0.68987,38
114,YNL244C,1040000000000000.0,69,4.009136,77437.65,4.648136599999999,7.76288,15,16,0.26235,38
115,YOL094C,1030000000000000.0,37,3.824644,25512.218999999997,7.650556599999999,9.16498,35,42,0.6032,39
116,YIL066C,1030000000000000.0,33,3.7799404,38638.027,2.9877727000000003,5.67767,107,90,1.25885,39
117,YGL163C,1020000000000000.0,25,3.6550762999999997,5121.0576,0.72979796,9.14935,111,134,0.75069,-1
118,YER043C,1010000000000000.0,40,3.8530462,33718.582,1.1909468,5.8266,55,44,0.8398,40
119,YDL132W,1010000000000000.0,67,4.0023093,132029.2,11.861794999999999,8.523010000000001,104,110,1.01562,40
120,YAR007C,1010000000000000.0,37,3.824644,36702.246,3.3497312000000004,5.86749,79,72,0.9797899999999999,40
121,YGL208W,1010000000000000.0,26,3.6740646,14339.386999999999,0.7657143,5.43573,59,49,0.75166,40
122,YNL161W,1000000000000000.0,44,3.885575,86490.66,4.2069906999999995,7.7180800000000005,75,76,1.16304,41
123,YBL026W,997000000000000.0,72,4.018587999999999,215597.98,10.122602,7.84467,13,14,0.41163999999999995,41
124,YBL039C,992000000000000.0,37,3.824644,26809.547000000002,3.6434205000000004,5.66608,83,66,0.93989,-1
125,YKL060C,987000000000000.0,41,3.8617712999999996,50326.793,1.5449528000000001,5.51227,49,37,0.9963299999999999,42
126,YJL088W,984000000000000.0,58,3.9667227,68580.1,2.2404479999999998,5.88202,43,37,0.32594,42
127,YKL104C,972000000000000.0,40,3.8530462,32776.58,1.615966,6.00568,93,81,0.6907300000000001,43
128,YDR148C,969000000000000.0,41,3.8617712999999996,83531.5,3.3926407999999997,8.877139999999999,60,65,0.34791,43
129,YJR035W,951000000000000.0,40,3.8530462,35215.133,1.8218412,7.10907,161,160,0.96241,44
130,YDR200C,942000000000000.0,27,3.6919663000000003,17331.426,2.5637686,6.97003,76,75,0.13845,44
131,YHR082C,922000000000000.0,57,3.9622339999999996,93116.055,5.29973,6.11017,134,116,0.85215,45
132,YER110C,920000000000000.0,57,3.9622339999999996,123355.82,2.7694633,4.5401,163,88,0.49621000000000004,45
133,YLL019C,917000000000000.0,37,3.824644,39009.598,1.3267419,8.742,80,89,0.96372,46
134,YDR075W,916000000000000.0,30,3.7397115,18223.328,1.1790969999999998,4.91351,46,31,1.2473100000000001,46
135,YOR151C,913000000000000.0,48,3.9131224000000002,72395.04,7.340451,6.09235,170,153,0.78678,46
136,YPL259C,902000000000000.0,44,3.885575,55873.168,2.2858237999999997,8.731869999999999,56,62,0.9454600000000001,46
137,YIL142W,876000000000000.0,38,3.8346567000000005,22424.266,5.111795,5.79474,72,65,0.14335,47
138,YCR088W,874000000000000.0,54,3.9474416,128478.586,8.623471,4.589169999999999,122,76,0.9228299999999999,47
139,YER161C,854000000000000.0,42,3.8698623,45203.477,3.2743645,9.41339,65,78,0.59454,48
140,YDR477W,851000000000000.0,49,3.9192991000000004,66309.57,5.233747,6.17572,83,70,1.01701,48
141,YMR214W,846000000000000.0,29,3.7248504000000002,9852.412,2.189118,7.09772,50,50,0.6944600000000001,48
142,YHR107C,839000000000000.0,45,3.8928665999999996,53861.44,4.604173,7.766780000000001,58,59,0.6782,49
143,YNL094W,837000000000000.0,43,3.8779418,105669.41,3.8815827000000005,5.83295,71,64,0.8377700000000001,49
144,YPL258C,836000000000000.0,43,3.8779418,55813.582,0.8214966999999999,5.6369,70,57,1.18002,49
145,YKR036C,832000000000000.0,33,3.7799404,32012.234,2.0479956,5.26666,97,72,1.0190000000000001,49
146,YJL157C,825000000000000.0,29,3.7248504000000002,35519.844,4.193188,5.25128,123,95,0.9795299999999999,50
147,YIL046W,820000000000000.0,34,3.7920727999999997,44507.215,2.9311688,7.74176,78,80,1.3689200000000001,50
148,YER012W,818000000000000.0,44,3.885575,39812.33,15.502938,5.82977,28,25,0.73347,50
149,YMR001C,816000000000000.0,59,3.9710984,163593.58,8.662987,9.06024,91,106,0.83136,50
150,YAL015C,811000000000000.0,24,3.6345142999999998,5003.778,3.5491362,8.090639999999999,51,53,1.5801,50
151,YKL103C,775000000000000.0,44,3.885575,70008.875,3.972382,5.54999,70,56,0.98044,51
152,YPR178W,765000000000000.0,37,3.824644,48740.36,8.57548,5.3352699999999995,68,51,1.28562,51
153,YOL062C,753000000000000.0,28,3.7088745000000003,17526.975,1.4555556,8.39703,54,57,1.0561200000000002,52
154,YNL071W,751000000000000.0,41,3.8617712999999996,45085.4,1.4811885,7.5965,56,57,0.47831,52
155,YOL126C,747000000000000.0,28,3.7088745000000003,17630.12,1.1354921999999998,6.4092400000000005,34,31,0.38117,52
156,YMR108W,740000000000000.0,31,3.7539133999999996,9659.504,0.9310867,8.591000000000001,71,75,0.79715,53
157,YBL075C,736000000000000.0,33,3.7799404,20314.252,1.1221591,5.05243,100,80,0.35608,53
158,YBL007C,733000000000000.0,139,4.127139,569650.2,32.627871999999996,5.65753,140,126,0.70223,53
159,YGR282C,732000000000000.0,27,3.6919663000000003,13682.008,1.1688962999999999,4.32465,39,20,1.98955,53
160,YBL030C,731000000000000.0,31,3.7539133999999996,57903.723,1.1345239,9.79913,22,42,1.0564799999999999,53
161,YHR027C,726000000000000.0,42,3.8698623,37630.094,13.472114999999999,4.52203,174,88,0.73239,53
162,YJR091C,721000000000000.0,280,4.1892104,2074496.4,7.292613,6.4798,89,81,0.62522,53
163,YNR001C,715000000000000.0,30,3.7397115,41113.387,1.2157848999999998,8.23077,58,60,1.17927,53
164,YMR117C,704000000000000.0,36,3.8142917,42788.566,2.9969492,4.860530000000001,46,34,0.52635,54
165,YDL188C,701000000000000.0,47,3.9065285000000003,46735.926,9.098276,4.62921,62,32,1.18418,54
166,YKL035W,699000000000000.0,30,3.7397115,12711.813999999998,0.8022779000000001,6.98297,62,61,0.59639,54
167,YBR198C,671000000000000.0,49,3.9192991000000004,98602.586,9.23855,7.01483,97,96,1.0044799999999998,55
168,YJR009C,667000000000000.0,31,3.7539133999999996,38231.855,0.93939394,6.45758,39,37,0.8829299999999999,55
169,YHR169W,666000000000000.0,30,3.7397115,27363.55,1.2173803,9.628969999999999,45,61,0.45803999999999995,55
170,YIL075C,648000000000000.0,32,3.7673379999999996,21946.426,4.680599,5.851380000000001,118,108,0.75947,56
171,YNL113W,640000000000000.0,26,3.6740646,28411.283,3.1675777000000003,4.315,34,14,0.29225,56
172,YLL011W,630000000000000.0,24,3.6345142999999998,4348.041,1.9130435000000001,9.41974,67,84,1.2093200000000002,57
173,YGR155W,625000000000000.0,24,3.6345142999999998,11359.315,1.4265700000000001,6.24921,69,66,0.8204899999999999,57
174,YDR502C,621000000000000.0,31,3.7539133999999996,12705.258,0.47796103,5.17889,56,45,1.06436,57
175,YDL147W,613000000000000.0,48,3.9131224000000002,88938.39,16.935835,5.79352,70,61,1.05413,58
176,YDR190C,611000000000000.0,31,3.7539133999999996,14386.353000000001,2.5197587,5.66437,65,58,0.36183000000000004,58
177,YLR355C,611000000000000.0,28,3.7088745000000003,10379.154,0.5925925999999999,9.10419,46,54,1.51427,58
178,YML057W,609000000000000.0,23,3.6126745000000002,8694.562,1.7272726999999999,5.92438,81,68,0.8979,58
179,YNL250W,605000000000000.0,32,3.7673379999999996,19576.92,3.2937623999999994,5.78326,229,208,0.46108000000000005,59
180,YJL020C,605000000000000.0,95,4.072236,314617.25,11.678827,5.1673,184,127,0.46985,59
181,YGL245W,604000000000000.0,28,3.7088745000000003,19196.146,1.1864478999999999,7.21466,108,108,1.25115,59
182,YMR109W,599000000000000.0,78,4.035391000000001,192250.06,20.861464,9.31805,132,164,0.9541799999999999,60
183,YDR260C,599000000000000.0,22,3.5892177000000003,28469.3,1.8095238,5.06061,25,16,1.59849,60
184,YLR096W,598000000000000.0,58,3.9667227,92576.02,7.480448,9.42853,108,137,0.6497,60
185,YHR114W,596000000000000.0,176,4.152772,957938.9,17.774496,5.69525,95,85,1.06491,-1
186,YLR191W,594000000000000.0,97,4.07566,342628.47,12.577809,8.96857,37,42,1.24785,-1
187,YJR068W,591000000000000.0,32,3.7673379999999996,24739.686,5.3942065,8.613339999999999,43,47,0.8433299999999999,61
188,YDR131C,589000000000000.0,19,3.5070434,11979.63,1.75,6.65314,67,65,1.2297200000000001,61
189,YLR383W,587000000000000.0,37,3.824644,52787.33,0.9647237,7.21173,177,177,0.46556000000000003,61
190,YIL128W,581000000000000.0,23,3.6126745000000002,35066.61,3.016268,5.64203,126,110,0.6982,62
191,YHL007C,578000000000000.0,33,3.7799404,53249.23,2.7244349,6.89313,112,110,0.53922,62
192,YER165W,568000000000000.0,66,3.998817,118780.766,4.8953815,5.70844,78,69,0.62392,63
193,YDR143C,564000000000000.0,19,3.5070434,15676.053999999998,2.7893220000000003,5.05267,71,49,0.36073,63
194,YPL031C,559000000000000.0,52,3.9367256,71492.45,3.8257964,8.28143,33,35,1.26813,64
195,YLR288C,558000000000000.0,99,4.079115,577794.7,2.7526565,5.189030000000001,68,49,0.87741,64
196,YPL149W,556000000000000.0,26,3.6740646,15805.641000000001,0.90018153,8.647639999999999,28,31,1.63307,64
197,YDL164C,553000000000000.0,21,3.5638937999999993,22476.139,0.6,7.4417100000000005,101,102,0.6220899999999999,65
198,YDL134C,552000000000000.0,28,3.7088745000000003,36267.93,5.4633193,4.614319999999999,56,28,1.2155,65
199,YPL022W,551000000000000.0,47,3.9065285000000003,130293.086,2.063126,5.29706,174,138,0.87411,65
200,YNL311C,549000000000000.0,27,3.6919663000000003,24237.832000000002,1.0768073999999999,6.49786,96,92,0.89469,-1
201,YGL158W,547000000000000.0,36,3.8142917,42989.53,5.070483,5.27032,74,57,1.1347,66
202,YLR196W,547000000000000.0,43,3.8779418,69350.91,1.9506008999999997,4.455509999999999,111,56,1.1573200000000001,66
203,YPR054W,546000000000000.0,27,3.6919663000000003,24829.152000000002,1.3312289,8.90985,37,46,1.2207700000000001,66
204,YHR020W,541000000000000.0,25,3.6550762999999997,8183.126,0.9695378000000001,6.016780000000001,94,86,1.27175,67
205,YGL003C,539000000000000.0,23,3.6126745000000002,12016.222,2.771645,8.80963,59,65,1.15567,67
206,YJR090C,538000000000000.0,30,3.7397115,46460.926,3.0024897999999998,6.08075,137,124,0.61292,67
207,YOR061W,538000000000000.0,64,3.9915602,85885.16,12.875017999999999,8.68475,41,46,1.5078799999999999,67
208,YML115C,531000000000000.0,20,3.5367074,17281.875,0.6315789,5.22235,78,58,1.2704799999999998,67
209,YGL173C,523000000000000.0,52,3.9367256,76347.21,2.4585707,7.042789999999999,206,203,0.91281,68
210,YER125W,517000000000000.0,62,3.983797,212547.44,7.488657000000001,6.2439599999999995,104,97,1.23858,68
211,YGL081W,510000000000000.0,23,3.6126745000000002,4218.0923,1.0909091,5.00897,57,40,0.49698000000000003,-1
212,YOR136W,503000000000000.0,26,3.6740646,27590.191000000003,1.7338596999999998,8.824160000000001,34,38,0.48528999999999994,69
213,YKL193C,501000000000000.0,26,3.6740646,17871.34,1.593925,5.33807,54,42,0.5543,69
214,YIL061C,500000000000000.0,67,4.0023093,210519.72,8.607555,9.97211,32,55,0.98515,69
215,YDL185W,496000000000000.0,38,3.8346567000000005,27022.959,3.9676652000000003,5.82611,142,126,1.01631,70
216,YNL230C,494000000000000.0,39,3.8440123,54977.43,2.649658,9.97162,39,71,0.574,70
217,YCL064C,492000000000000.0,24,3.6345142999999998,7329.2686,1.4103261,8.954039999999999,33,41,0.6844600000000001,70
218,YKL081W,489000000000000.0,29,3.7248504000000002,23192.781000000003,3.1208513,7.6273800000000005,55,56,1.8183799999999999,70
219,YER025W,482000000000000.0,26,3.6740646,23392.045,4.046439,6.37421,71,68,0.39195,71
220,YGR083C,479000000000000.0,23,3.6126745000000002,5386.5044,4.0429196,9.44098,66,86,0.39364,71
221,YDR127W,473000000000000.0,25,3.6550762999999997,16630.584,2.3111472,5.888,191,165,0.9351799999999999,72
222,YMR012W,470000000000000.0,35,3.80336,40131.496,0.45924369,5.9932300000000005,178,159,0.78188,72
223,YIL095W,465000000000000.0,32,3.7673379999999996,43928.11,4.038274299999999,9.62579,77,108,0.49423,73
224,YJR076C,463000000000000.0,37,3.824644,43189.14,5.426424,4.9368300000000005,73,51,0.61398,73
225,YFR040W,463000000000000.0,29,3.7248504000000002,33779.617,1.5305383,4.55841,175,98,0.66813,73
226,YBR039W,463000000000000.0,23,3.6126745000000002,11730.15,2.1861472,9.33722,33,42,0.39766999999999997,73
227,YCR079W,461000000000000.0,30,3.7397115,42906.7,2.070348,6.565119999999999,53,51,1.16359,74
228,YOR080W,460000000000000.0,45,3.8928665999999996,67467.3,2.7334907000000004,9.12457,81,103,0.8011699999999999,74
229,YHR179W,453000000000000.0,22,3.5892177000000003,6836.1772,1.6269841,6.13019,52,48,1.63963,75
230,YDL143W,448000000000000.0,25,3.6550762999999997,7512.35,0.13257575,8.03766,69,71,0.21414,75
231,YKL166C,437000000000000.0,27,3.6919663000000003,26744.389,3.3874328,5.92596,52,45,1.28957,76
232,YNL037C,435000000000000.0,20,3.5367074,4939.5435,1.3782895,8.98627,40,44,0.58286,76
233,YLR222C,435000000000000.0,29,3.7248504000000002,41957.215,2.228002,5.22369,109,82,1.20745,76
234,YPL164C,431000000000000.0,15,3.359922,3274.7632,0.6298701,9.03705,81,99,0.9174399999999999,-1
235,YLR442C,427000000000000.0,32,3.7673379999999996,18873.09,1.803041,6.02118,145,136,0.77349,77
236,YMR055C,427000000000000.0,19,3.5070434,19567.316000000003,2.0982144,8.79547,27,32,1.0454700000000001,77
237,YLR304C,425000000000000.0,24,3.6345142999999998,15875.568000000001,0.44544512,8.17169,94,97,1.05597,77
238,YBR223C,420000000000000.0,15,3.359922,2449.206,0.55714285,8.42499,64,69,1.1198,78
239,YDL213C,419000000000000.0,64,3.9915602,134981.28,7.449561599999999,10.082460000000001,33,55,0.0,78
240,YHR183W,418000000000000.0,23,3.6126745000000002,8275.89,1.6323786,6.18829,58,54,1.2555399999999999,78
241,YCR057C,412000000000000.0,64,3.9915602,128561.3,20.361727,4.94,136,96,1.06538,79
242,YBR114W,409000000000000.0,36,3.8142917,50409.49,0.8689935,8.53766,108,116,0.92181,79
243,YGR052W,404000000000000.0,39,3.8440123,39873.227,4.1099644,6.15424,45,41,1.6618700000000002,79
244,YOR319W,394000000000000.0,24,3.6345142999999998,19504.867,1.9652174,9.14532,24,30,0.8564299999999999,80
245,YJR022W,394000000000000.0,75,4.027248999999999,279090.7,12.926041,6.582210000000001,17,17,0.70487,80
246,YDR398W,389000000000000.0,30,3.7397115,39316.187999999995,0.5847817,4.830509999999999,100,65,1.1485299999999998,81
247,YEL056W,388000000000000.0,20,3.5367074,14544.681,1.5153508,4.71698,62,31,1.46783,81
248,YBR274W,384000000000000.0,34,3.7920727999999997,57762.04,2.4313792999999997,5.85919,66,57,1.12636,82
249,YPL153C,381000000000000.0,36,3.8142917,59619.27,3.540397,7.87897,99,101,0.64788,82
250,YHR033W,375000000000000.0,20,3.5367074,5144.416,0.42105263,5.71014,51,42,0.7098300000000001,83
251,YDL097C,375000000000000.0,32,3.7673379999999996,12521.583999999999,15.316033,5.89679,63,56,0.81409,83
