Proteins,isoelectric point,negatively charged particle,positively charged particle,absorbance
YBR023C,6.26263,138,129,1.44636
YBR024W,8.33759,41,44,1.22406
YBR025C,7.05292,57,57,0.72781
YBR027C,9.27448,4,11,1.38888
YBR028C,7.6391,67,68,1.00477
YBR029C,8.84088,34,43,0.99089
YBR033W,8.86298,95,113,0.6465
YBR034C,5.25873,53,38,1.1616
YBR035C,6.93549,37,37,1.7677
YBR036C,6.88934,29,29,1.381
YBR037C,9.1452,32,40,1.09662
YBR038W,8.81012,98,110,1.44767
YBR039W,9.33722,33,42,0.39767
YBR040W,9.51617,15,27,1.44661
YBR041W,8.54303,71,77,1.5982
YBR042C,9.37494,36,50,1.68781
YBR043C,7.59235,65,66,1.49989
YBR044C,9.04889,61,76,0.79749
YBR045C,5.07428,118,90,0.59356
YBR047W,7.06915,26,26,0.44193
YBR049C,4.95563,149,99,0.92617
YBR050C,8.3526,45,48,0.898
YBR052C,5.15485,28,21,1.69126
YBR053C,4.91901,52,34,1.39012
YBR054W,9.24994,29,40,1.69129
YBR055C,8.19635,126,130,1.32484
YBR056W,6.00201,73,63,2.45221
YBR057C,5.62604,45,35,0.56731
YBR058C,5.08392,106,77,1.12418
YBR058C-A,8.76141,6,8,1.52049
YBR059C,7.38361,121,121,0.48303
YBR060C,9.44696,72,93,0.71149
YBR061C,8.0329,38,40,0.89077
YBR063C,6.20929,54,52,0.81786
YBR064W,6.25861,12,12,0.7223
YBR065C,9.54364,37,58,0.71376
YBR066C,9.86615,18,38,0.49822
YBR067C,4.18829,18,7,0.62478
YBR068C,8.48175,47,52,1.46764
YBR069C,7.85138,51,53,1.42546
YBR070C,9.69586,16,30,1.3834
YBR072W,5.31268,33,28,0.89743
YBR073W,9.27289,106,136,0.67048
YBR074W,6.08173,103,90,1.24453
YBR076W,9.07025,37,49,1.36904
YBR077C,4.91266,22,14,0.88157
YBR078W,4.71136,29,22,0.17113
YBR079C,5.96869,168,155,0.7188
YBR080C,8.02765,90,92,0.45191
YBR081C,4.74152,264,175,0.62517
YBR082C,6.04266,17,15,1.65932
YBR083W,7.22369,60,60,0.90025
YBR084W,8.78998,110,120,0.51546
YBR085W,9.81671,21,41,1.00233
YBR086C,9.05988,81,98,1.04551
YBR087W,8.47931,41,45,0.60201
YBR088C,4.44147,46,26,0.22341
YBR089C-A,9.89557,15,24,0.99862
YBR089W,8.84235,15,18,1.46397
YBR090C,11.20502,5,20,1.86583
YBR091C,6.27191,14,13,0.30365
YBR093C,4.62921,63,37,1.62587
YBR094W,4.79266,118,75,1.37449
YBR095C,4.82318,72,50,0.38887
YBR096W,8.70685,23,29,1.69551
YBR097W,6.34613,162,153,0.86906
YBR098W,7.20087,100,100,0.63679
YBR099C,9.02448,7,14,1.13094
YBR101C,4.92084,45,33,0.61925
YBR102C,7.99091,99,101,0.475
YBR103W,4.81085,75,45,1.50396
YBR105C,6.26666,40,36,1.06244
YBR106W,9.21381,19,24,0.83007
YBR107C,5.15216,31,24,1.38121
YBR108W,9.25409,88,104,0.47019
YBR109C,4.17865,30,11,0
YBR109W-A,9.58759,3,7,1.83687
YBR110W,8.92511,45,54,1.55281
YBR111W-A,4.50665,17,10,0.76504
YBR112C,4.91473,102,60,0.96366
YBR113W,9.73639,9,24,0.91697
YBR114W,8.53766,108,116,0.92181
YBR115C,5.63214,172,147,1.13774
YBR116C,9.03937,11,19,1.32034
YBR117C,5.75226,82,68,1.24066
YPR080W; YBR118W,9.14093,55,67,0.91531
YBR119W,10.15704,30,57,0.30703
YBR120C,9.89752,19,32,0.47863
YBR121C,6.12372,110,103,0.86412
YBR122C,9.71893,24,34,0.64458
YBR123C,5.23065,105,86,0.80439
YBR124W,8.74762,8,11,1.32079
YBR125C,6.94415,42,41,0.89926
YBR126C,5.71381,59,47,1.54576
YBR127C,4.95099,80,59,0.58763
YBR128C,9.33466,34,49,1.18643
YBR129C,8.17303,45,47,1.24301
YBR130C,8.74249,51,55,0.37002
YBR131W,5.11346,89,67,1.34409
YBR132C,6.8255,53,52,1.61222
YBR133C,5.92694,101,86,1.31043
YBR134W,9.16449,9,15,1.22877
YBR135W,5.94989,18,13,1.37879
YBR136W,8.53729,272,291,1.1882
YBR137W,5.31573,29,23,0.80326
YBR138C,8.01312,71,73,0.74585
YBR139W,5.11871,61,43,1.63233
YBR140C,6.12494,344,310,0.83316
YBR141C,9.74298,31,54,0.55838
YBR142W,8.50226,111,116,0.52851
YBR143C,4.93524,71,54,0.75156
YBR144C,8.86285,10,13,1.52824
YBR145W,5.94293,37,31,1.23859
YBR146W,10.25067,23,50,0.90463
YBR149W,5.64618,48,39,1.11192
YBR150C,5.22675,177,135,0.80349
YBR152W,5.51849,61,53,0.63826
YBR154C,9.1828,28,34,0.86946
YBR155W,5.68707,67,62,0.66887
YBR156C,9.92279,82,128,0.57309
YBR157C,9.44135,29,38,0.42299
YBR158W,9.22333,60,76,0.93977
YBR159W,9.52863,29,43,0.82736
YBR160W,8.50323,39,42,1.22926
YBR161W,9.1579,39,50,2.02551
YBR162C,4.49249,51,25,1.13202
YBR162W-A,10.34222,3,13,1.35375
YBR163W,6.76605,69,66,0.98648
YBR166C,6.13409,52,46,1.46644
YBR167C,9.34052,18,24,0.38478
YBR168W,8.85345,43,49,1.94481
YBR169C,5.45721,110,96,0.69299
YBR170C,5.47382,81,62,1.10259
YBR171W,6.77374,31,31,1.12688
YBR172C,8.83173,86,93,0.9111
YBR173C,5.00702,21,15,0.84161
YBR174C,6.23346,8,7,0.93567
YBR175W,5.59576,31,22,1.49396
YBR176W,8.34918,30,33,0.93647
YBR177C,7.64093,55,56,1.47216
YBR178W,10.03241,8,19,0.82826
YBR179C,6.5451,120,116,0.68492
YBR180W,8.97333,40,49,1.35318
YBR182C,9.48822,34,49,0.40717
YBR183W,8.44476,24,27,2.79866
YBR184W,8.83344,63,74,1.07203
YBR185C,9.84357,24,40,0.85443
YBR186W,5.63214,77,66,0.47676
YBR187W,5.29193,29,22,0.71044
YBR188C,5.9295,23,22,0.28773
YBR190W,10.12518,4,13,1.66539
YBR192W,9.62408,32,50,1.58488
YBR193C,5.31586,31,24,0.88887
YBR194W,10.19867,15,26,0.70044
YBR195C,5.32062,54,35,1.6636
YBR196C,5.9953,60,50,1.19644
YBR197C,9.09613,29,33,0.4171
YBR198C,7.01483,97,96,1.00448
YBR199W,4.7243,77,46,1.79964
YBR200W,8.70624,67,73,0.98661
YBR201W,8.34174,16,18,1.99811
YBR202W,5.13861,120,97,0.46607
YBR203W,9.65253,94,139,1.0133
YBR204C,6.0932,49,44,1.3867
YBR205W,8.88959,48,56,1.88883
YBR207W,5.43256,47,39,1.28736
YBR208C,5.44977,224,191,1.09857
YBR209W,10.18231,6,19,1.09879
YBR211C,4.72565,58,40,0.46835
YBR212W,8.17487,51,53,0.73071
YBR213W,5.92499,43,39,1.01512
YBR214W,9.05829,40,48,0.53614
YBR215W,9.23834,80,94,0.27901
YBR216C,5.45148,96,85,0.91884
YBR217W,6.31891,22,21,0.56075
YBR218C,6.06085,150,134,0.71586
YBR219C,9.61005,3,11,2.0565
YBR220C,9.23529,35,51,1.72944
YBR221C,5.22601,47,38,0.58685
YBR222C,9.25079,49,62,0.63558
YBR223C,8.42499,64,69,1.1198
YBR225W,8.2912,107,111,0.93584
YBR226C,9.33734,8,16,1.83799
YBR227C,7.59406,75,76,0.41427
YBR228W,9.14008,37,49,1.17929
YBR229C,5.7442,117,91,1.53141
YBR230C,8.96661,10,15,0.7567
YBR231C,5.02045,62,48,0.87091
YBR233W,7.26935,45,45,0.27129
YBR234C,6.59625,40,38,1.85052
YBR235W,8.78302,88,100,1.05398
YBR236C,8.04767,62,64,1.13021
YBR237W,8.22308,135,139,0.41486
YBR238C,7.0954,68,66,1.17216
YBR239C,8.75214,52,62,0.96061
YBR240C,8.85919,44,56,1.40355
YBR241C,6.74994,31,30,1.81708
YBR242W,6.46124,36,35,1.46884
YBR243C,8.6767,31,37,1.46047
YBR244W,8.75604,19,23,0.89265
YBR245C,6.23199,190,180,0.99721
YBR246W,5.19598,49,35,1.18086
YBR247C,4.82574,91,62,0.86296
YBR248C,5.34393,77,63,0.98866
YBR249C,6.46771,42,40,0.55486
YBR250W,7.07977,64,64,0.72598
YBR251W,9.59076,34,49,1.07819
YBR252W,6.56317,15,15,0.38936
YBR253W,4.59662,20,12,0.51325
YBR254C,6.50323,17,16,0.96625
YBR255W,9.67059,75,100,1.05578
YBR258C,5.01178,29,23,0.78823
YBR260C,8.44403,77,81,0.60273
YBR261C,5.08124,35,26,1.52661
YBR262C,7.96722,13,14,3.38561
YBR263W,8.82892,49,55,0.84399
YBR264C,6.82672,22,22,0.93616
YBR265W,5.92999,38,34,1.14339
YBR266C,8.38983,5,8,0.42076
YBR267W,5.79547,70,61,0.8337
YBR269C,7.83685,19,20,0.39248
YBR270C,8.75934,55,60,0.94213
YBR271W,4.8576,67,44,1.45374
YBR272C,4.72711,81,55,0.90076
YBR273C,5.93646,75,66,0.988
YBR274W,5.85919,66,57,1.12636
YBR275C,6.13275,252,231,0.64666
YBR276C,6.68268,82,78,0.99014
YBR277C,9.09747,7,11,0.23755
YBR278W,4.52216,47,25,0.14251
YBR279W,4.81158,102,72,0.6637
YBR280C,5.86188,70,58,1.36386
YBR281C,5.32867,101,76,1.32156
YBR282W,10.13129,10,27,1.39736
YBR283C,8.19086,33,35,0.607
YBR284W,6.24054,90,81,1.45577
YBR285W,6.82941,23,23,0.46548
YBR286W,5.12982,73,50,1.11745
YBR287W,4.81061,37,24,1.21638
YBR288C,6.10577,57,52,0.96058
YBR289W,8.36029,79,82,0.6218
YBR290W,4.68561,47,26,0.76937
YBR291C,9.60394,23,37,0.69593
YBR293W,9.74432,16,36,1.0616
YBR295W,7.59052,130,132,0.56122
YBR296C,6.02277,44,40,2.04197
YBR298C,5.62103,62,57,1.88963
YBR299W,5.47406,88,72,2.19199
YBR301W,5.13422,10,7,1.23994
YBR302C,8.78156,39,46,2.43521
YCL004W,9.68158,41,68,1.28643
YCL005W,8.2851,20,22,1.27708
YCL007C,10.35394,9,27,1.21696
YCL008C,5.37006,42,27,0.91553
YCL009C,6.07465,36,31,0.4031
YCL010C,5.35529,41,35,1.03078
YCL011C,5.95282,71,67,0.66922
YCL014W,5.84088,245,222,0.62883
YCL016C,6.04242,55,49,1.09817
YCL017C,8.35101,55,58,0.78177
YCL018W,5.51874,46,39,0.72422
YCL019W,8.27618,201,208,1.02207
YCL020W,6.97589,41,40,1.07673
YCL023C,10.14948,3,17,1.62994
YCL024W,8.76532,139,148,0.60744
YCL025C,6.51056,54,51,1.50171
YCL026C-A,6.50763,18,17,1.20997
YCL027W,9.1192,49,62,1.27677
YCL028W,6.13251,16,13,0.5599
YCL029C,5.61517,72,58,0.56604
YCL030C,5.17511,112,87,0.57746
YCL031C,8.95001,39,45,0.71903
YCL032W,5.28705,50,40,0.77816
YCL033C,9.21075,17,25,2.01284
YCL034W,5.32111,51,42,0.85111
YCL035C,4.98199,17,11,0.50161
YCL036W,8.83356,72,82,1.35243
YCL037C,8.87885,46,50,0.70579
YCL038C,8.59418,36,40,1.68151
YCL039W,5.75372,85,68,1.20812
YCL040W,5.79547,65,54,0.56423
YCL042W,10.57538,5,17,2.52318
YCL043C,4.38251,93,42,0.95369
YCL044C,9.33453,43,52,0.98684
YCL045C,5.14801,101,72,1.3651
YCL046W,8.9505,13,16,0.72456
YCL048W,5.92218,53,47,0.42888
YCL049C,4.68353,44,29,2.18715
YCL050C,4.91937,48,31,0.77113
YCL051W,8.25372,69,72,0.44528
YCL052C,5.44354,62,50,1.08435
YCL054W,8.08441,155,158,0.72634
YCL055W,8.6651,36,40,1.21626
YCL056C,9.57684,12,23,1.81254
YCL058C,6.79303,6,6,0.87898
YCL059C,9.42255,49,63,0.9263
YCL061C,5.15961,212,164,0.28494
YCL063W,8.67828,51,55,0.28374
YCL064C,8.95404,33,41,0.68446
YCL065W,9.14386,3,10,1.94617
YCL069W,9.25494,25,36,0.92096
YCL076W,5.38812,34,29,0.93456
YCR001W,9.59515,3,12,1.87154
YCR002C,5.49786,47,38,0.70291
YCR003W,9.85822,19,37,1.21008
YCR004C,8.2774,27,29,1.30153
YCR005C,5.94135,58,50,1.27945
YCR007C,5.1524,29,22,1.31493
YCR008W,9.31024,57,81,0.80702
YCR009C,6.24091,42,41,0.78529
YCR010C,5.00995,21,14,1.58613
YCR011C,5.02667,126,98,0.76546
YCR012W,7.10968,55,55,0.48181
YCR014C,8.27936,89,94,1.15984
YCR015C,7.02374,41,41,1.24083
YCR016W,7.64532,55,56,1.04413
YCR020C-A,5.20575,11,9,0
YCR021C,5.06378,33,21,1.8459
YCR022C,10.83661,5,17,1.10844
YCR023C,6.96429,52,51,1.40876
YCR024C,8.67828,51,57,1.31727
YCR024C-A,11.55524,0,5,1.58093
YCR027C,5.80707,27,25,0.64553
YCR028C,6.79791,46,45,1.93912
YCR028C-A,7.92401,17,18,0.93852
YCR030C,8.65472,90,95,0.66785
YCR033W,9.16632,160,182,0.71989
YCR034W,9.54193,16,31,1.79755
YCR035C,4.88165,63,45,0.63655
YCR036W,5.16644,46,35,0.71499
YCR037C,5.93622,99,90,0.97675
YCR038C,7.67572,66,67,1.41348
YCR039C,9.4776,28,37,0.6474
YCR040W,10.00018,12,27,1.6678
YCR041W,8.52972,5,8,1.92644
YCR042C,5.46307,209,172,0.96477
YCR044C,6.40814,34,31,2.22797
YCR045C,5.24274,63,48,1.1495
YCR046C,10.388,15,33,1.11146
YCR047C,9.11871,35,42,0.71336
YCR048W,8.5296,56,62,1.81156
YCR050C,9.65155,5,13,2.30181
YCR052W,4.69183,78,49,0.82961
YCR053W,5.45941,68,59,0.85378
YCR054C,4.84125,84,57,0.79841
YCR057C,4.94,136,96,1.06538
YCR059C,4.51788,46,20,1.12623
YCR060W,6.08575,12,11,0.85365
YCR061W,5.69879,53,40,1.46346
YCR063W,9.54144,18,33,1.52083
YCR066W,7.53351,65,66,0.64132
YCR067C,4.6181,127,70,0.34678
YCR068W,5.33685,67,49,1.75445
YCR071C,9.87384,11,25,0.82112
YCR072C,9.06122,51,64,1.90916
YCR073C,7.74652,163,165,1.18357
YCR075C,8.91608,14,19,2.53968
YCR076C,4.88715,31,22,1.01586
YCR077C,6.87213,85,84,0.60208
YCR079W,6.56512,53,51,1.16359
YCR081W,6.05621,171,150,1.10093
YCR082W,4.7558,22,14,1.1302
YCR084C,5.43231,79,63,0.81315
YCR086W,5.10614,29,23,0.94363
YCR087C-A,9.54205,17,33,0.79828
YCR087W,10.2226,6,16,0.46557
YCR088W,4.58917,122,76,0.92283
YCR091W,8.784,85,96,0.62232
YCR092C,6.69171,137,132,0.66973
YCR093W,6.0401,238,218,0.73934
YCR094W,7.58795,46,47,1.34654
YCR095C,8.62238,48,52,0.96958
YCR096C,9.94098,14,23,1.11441
YCR098C,8.75067,43,50,1.551
YCR099C,4.90436,32,24,0.79067
YCR100C,4.8576,39,25,1.29422
YCR101C,4.67609,28,17,2.07363
YCR105W,6.91412,41,40,1.07146
YCR106W,5.64117,103,86,1.02744
YCR107W,6.35358,46,44,1.59151
YDL001W,5.43158,69,54,0.95542
YDL002C,7.64508,40,41,0.74067
YDL003W,4.52435,100,58,0.57972
YDL004W,6.13629,16,15,0.18243
YDL005C,4.37006,66,35,0.30524
YDL006W,4.86444,44,29,1.04773
YDL007W,5.78119,70,64,0.3154
YDL008W,4.72406,29,15,1.09224
YDL011C,4.81256,8,6,0.76234
YDL012C,4.82611,5,3,1.64228
YDL013W,6.26752,103,98,0.4594
YDL014W,10.24408,32,53,0.51632
YDL015C,9.55475,22,37,2.12648
YDL017W,5.59161,71,59,1.31817
YDL019C,6.36823,193,182,1.25094
YDL020C,5.19891,79,55,0.64121
YDL022W,5.30304,50,35,1.14653
YDL023C,4.83734,8,5,0.75277
YDL024C,5.3371,54,43,1.56305
YDL025C,8.4118,71,75,0.65626
YDL026W,9.20636,5,8,1.148
YDL027C,9.91547,32,62,0.75023
YDL028C,9.00641,94,105,0.60948
YDL029W,5.54315,54,46,1.10578
YDL030W,6.06854,92,85,0.97757
YDL031W,9.14801,149,168,0.60189
YDL035C,6.65582,107,104,1.55368
YDL036C,9.1203,65,77,1.08084
YDL037C,4.70697,21,13,1.67751
YDL040C,8.85944,119,133,1.16305
YDL041W,3.97174,9,3,0.18712
YDL042C,8.69879,60,68,0.80073
YDL043C,8.19366,35,37,0.78274
YDL044C,6.32208,68,65,0.78255
YDL045C,5.15948,39,28,1.72946
YDL046W,4.3598,27,13,0.57337
YDL047W,5.23273,41,29,1.55077
YDL049C,9.1098,19,25,1.50323
YDL050C,7.70941,12,13,0.73399
YDL051W,8.61945,48,51,0.41117
YDL052C,9.6275,23,40,0.98904
YDL053C,10.34222,9,29,0.93431
YDL054C,9.14618,21,31,1.55241
YDL055C,5.9538,44,40,0.8031
YDL056W,9.27399,88,103,0.51024
YDL058W,4.88129,368,264,0.43732
YDL059C,8.75409,26,30,1.41703
YDL060W,5.51996,132,111,0.96285
YDL061C,10.06549,4,12,1.33479
YDL062W,8.79694,12,15,0.81266
YDL063C,5.07062,76,57,0.76065
YDL064W,9.2431,17,23,2.21481
YDL065C,4.25482,84,37,0.37953
YDL066W,8.84332,55,61,0.98994
YDL067C,9.77313,6,10,2.79759
YDL069C,9.94366,19,35,0.75943
YDL070W,5.77582,99,86,0.54729
YDL071C,8.26288,8,10,0.27423
YDL072C,6.61041,24,24,0.40127
YDL073W,8.11395,117,121,1.05997
YDL074C,6.06927,127,119,0.35958
YDL075W,9.98859,15,24,0.76971
YDL076C,6.0838,36,32,1.24456
YDL077C,6.60834,144,138,1.20544
YDL079C,8.17084,67,70,0.7073
YDL080C,5.95087,61,53,1.24544
YDL081C,3.82294,23,5,0.64083
YDL082W,11.18073,20,46,0.44206
YDL084W,5.34503,71,56,0.39993
YDL085W,8.73114,61,66,1.1601
YDL086W,5.91071,34,29,0.55988
YDL087C,9.31158,33,43,0.41961
YDL088C,7.75616,47,48,0.7529
YDL089W,9.05328,54,63,1.3382
YDL090C,5.97345,52,46,1.42531
YDL091C,5.95709,62,55,0.82533
YDL092W,9.72028,16,28,0.71274
YDL093W,8.03497,58,61,1.89296
YDL094C,9.56244,14,23,0.54867
YDL095W,6.21918,81,71,1.8422
YDL096C,8.88007,4,8,0.33316
YDL097C,5.89679,63,56,0.81409
YDL098C,8.6076,31,34,0.71896
YDL099W,4.54083,76,46,0.43088
YDL100C,4.87469,50,33,0.52893
YDL101C,7.96149,66,68,0.79888
YDL102W,8.23383,134,140,1.00315
YDL103C,7.07672,64,64,1.00429
YDL104C,7.62067,47,48,0.91013
YDL105W,9.30963,54,63,0.46736
YDL106C,4.88885,78,49,0.54102
YDL108W,6.40131,38,36,1.34396
YDL110C,4.5799,31,18,0.36282
YDL111C,5.22687,32,23,0.55258
YDL112W,5.73822,183,157,1.18321
YDL113C,6.51019,90,86,0.64801
YDL114W,9.51556,24,36,0.56598
YDL115C,4.58881,84,48,0.5753
YDL116W,4.7547,114,69,1.10116
YDL117W,9.0556,97,115,1.27217
YDL118W,9.05902,10,15,0.74958
YDL119C,9.92462,18,36,1.0996
YDL121C,7.815,25,26,0.52753
YDL123W,6.02142,8,7,1.34948
YDL124W,5.84552,40,36,1.2926
YDL125C,6.43793,21,19,0.74663
YDL126C,4.82318,142,100,0.47633
YDL127W,9.71869,29,46,0.90252
YDL128W,5.38995,30,19,0.80153
YDL129W,9.46735,42,51,0.65106
YDL130W,3.88422,22,5,0.65526
