Protein,Priority Fun_GO,Orthologous,Sub_cell,.1B,.2B,.3B,.4B,.5B,.6B,.7B,.8B,.9B,.1A,.2A,.3A,.4A,.5A,.6A,.7A,.8A,.9A
YPR102C,0.143518519,0.750610054,0,0.075061005,0.150122011,0.225183016,0.300244022,0.375305027,0.450366032,0.525427038,0.600488043,0.675549049,0.622345996,0.569142943,0.51593989,0.462736837,0.409533784,0.356330731,0.303127678,0.249924625,0.196721572
YLR044C,0.273148148,0.076889449,0.750610054,0.683237994,0.615865933,0.548493873,0.481121812,0.413749752,0.346377691,0.279005631,0.21163357,0.14426151,0.157150173,0.170038837,0.182927501,0.195816165,0.208704829,0.221593493,0.234482156,0.24737082,0.260259484
YGL048C,0.273148148,0.075614437,0.750610054,0.683110492,0.615610931,0.548111369,0.480611807,0.413112246,0.345612684,0.278113122,0.21061356,0.143113999,0.156117414,0.169120829,0.182124243,0.195127658,0.208131073,0.221134488,0.234137903,0.247141318,0.260144733
YGR262C,0.273148148,0.068086317,0.750610054,0.68235768,0.614105307,0.545852933,0.477600559,0.409348186,0.341095812,0.272843438,0.204591064,0.136338691,0.150019636,0.163700582,0.177381528,0.191062474,0.204743419,0.218424365,0.232105311,0.245786257,0.259467202
YCR002C,0.273148148,0.123992512,0.099072718,0.101564697,0.104056677,0.106548656,0.109040636,0.111532615,0.114024594,0.116516574,0.119008553,0.121500533,0.136665294,0.151830056,0.166994817,0.182159579,0.19732434,0.212489102,0.227653863,0.242818625,0.257983386
YDL043C,0.273148148,0.062479126,0.39238653,0.35939579,0.326405049,0.293414309,0.260423568,0.227432828,0.194442088,0.161451347,0.128460607,0.095469866,0.113237695,0.131005523,0.148773351,0.166541179,0.184309007,0.202076835,0.219844664,0.237612492,0.25538032
YMR059W,0.273148148,0,0.936310395,0.842679356,0.749048316,0.655417277,0.561786237,0.468155198,0.374524158,0.280893119,0.187262079,0.09363104,0.11158275,0.129534461,0.147486172,0.165437883,0.183389594,0.201341305,0.219293015,0.237244726,0.255196437
YDR523C,0.273148148,0,0.750610054,0.675549049,0.600488043,0.525427038,0.450366032,0.375305027,0.300244022,0.225183016,0.150122011,0.075061005,0.09486972,0.114678434,0.134487148,0.154295862,0.174104577,0.193913291,0.213722005,0.233530719,0.253339434
YOR181W,0.273148148,0.060892083,0,0.006089208,0.012178417,0.018267625,0.024356833,0.030446042,0.03653525,0.042624458,0.048713666,0.054802875,0.076637402,0.098471929,0.120306457,0.142140984,0.163975511,0.185810039,0.207644566,0.229479093,0.251313621
YNL064C,0.101851852,0.729894444,0.750610054,0.748538493,0.746466932,0.744395371,0.74232381,0.740252249,0.738180688,0.736109127,0.734037566,0.731966005,0.66895459,0.605943174,0.542931759,0.479920344,0.416908929,0.353897513,0.290886098,0.227874683,0.164863267
YBR072W,0.185185185,0.441968669,0,0.044196867,0.088393734,0.132590601,0.176787468,0.220984335,0.265181201,0.309378068,0.353574935,0.397771802,0.37651314,0.355254479,0.333995817,0.312737155,0.291478494,0.270219832,0.24896117,0.227702508,0.206443847
YGL206C,0.273148148,0,0.439970717,0.395973645,0.351976574,0.307979502,0.26398243,0.219985359,0.175988287,0.131991215,0.087994143,0.043997072,0.066912179,0.089827287,0.112742395,0.135657502,0.15857261,0.181487717,0.204402825,0.227317933,0.25023304
YGR240C,0.273148148,0,0.439970717,0.395973645,0.351976574,0.307979502,0.26398243,0.219985359,0.175988287,0.131991215,0.087994143,0.043997072,0.066912179,0.089827287,0.112742395,0.135657502,0.15857261,0.181487717,0.204402825,0.227317933,0.25023304
YDR142C,0.273148148,0,0.371644705,0.334480235,0.297315764,0.260151294,0.222986823,0.185822353,0.148657882,0.111493412,0.074328941,0.037164471,0.060762838,0.084361206,0.107959574,0.131557942,0.155156309,0.178754677,0.202353045,0.225951413,0.24954978
YPL240C,0.273148148,0,0.358223524,0.322401172,0.286578819,0.250756467,0.214934114,0.179111762,0.14328941,0.107467057,0.071644705,0.035822352,0.059554932,0.083287512,0.107020091,0.130752671,0.15448525,0.17821783,0.201950409,0.225682989,0.249415568
YLR259C,0.055555556,1,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.815555556,0.731111111,0.646666667,0.562222222,0.477777778,0.393333334,0.308888889,0.224444445,0.14
YOR212W,0.273148148,0,0,0,0,0,0,0,0,0,0,0,0.027314815,0.05462963,0.081944444,0.109259259,0.136574074,0.163888889,0.191203704,0.218518518,0.245833333
YGL190C,0.273148148,0,0,0,0,0,0,0,0,0,0,0,0.027314815,0.05462963,0.081944444,0.109259259,0.136574074,0.163888889,0.191203704,0.218518518,0.245833333
YPL140C,0.273148148,0,0,0,0,0,0,0,0,0,0,0,0.027314815,0.05462963,0.081944444,0.109259259,0.136574074,0.163888889,0.191203704,0.218518518,0.245833333
YJR077C,0.273148148,0,0,0,0,0,0,0,0,0,0,0,0.027314815,0.05462963,0.081944444,0.109259259,0.136574074,0.163888889,0.191203704,0.218518518,0.245833333
YOR351C,0.273148148,0,0,0,0,0,0,0,0,0,0,0,0.027314815,0.05462963,0.081944444,0.109259259,0.136574074,0.163888889,0.191203704,0.218518518,0.245833333
YML064C,0.185185185,0.390747134,0,0.039074713,0.078149427,0.11722414,0.156298854,0.195373567,0.23444828,0.273522994,0.312597707,0.351672421,0.335023697,0.318374973,0.30172625,0.285077526,0.268428803,0.251780079,0.235131356,0.218482632,0.201833909
YBR020W,0.185185185,0.373861179,0,0.037386118,0.074772236,0.112158354,0.149544472,0.18693059,0.224316707,0.261702825,0.299088943,0.336475061,0.321346073,0.306217086,0.291088098,0.275959111,0.260830123,0.245701135,0.230572148,0.21544316,0.200314173
YDL140C,0.143518519,0.390293726,0.39238653,0.39217725,0.391967969,0.391758689,0.391549408,0.391340128,0.391130848,0.390921567,0.390712287,0.390503006,0.365804558,0.341106109,0.31640766,0.291709211,0.267010763,0.242312314,0.217613865,0.192915416,0.168216968
YHL004W,0.143518519,0.424163291,0,0.042416329,0.084832658,0.127248987,0.169665316,0.212081646,0.254497975,0.296914304,0.339330633,0.381746962,0.357924118,0.334101273,0.310278429,0.286455585,0.26263274,0.238809896,0.214987052,0.191164208,0.167341363
YBR196C,0.101851852,0.55646293,0.358223524,0.378047465,0.397871405,0.417695346,0.437519286,0.457343227,0.477167168,0.496991108,0.516815049,0.536638989,0.493160276,0.449681562,0.406202848,0.362724134,0.319245421,0.275766707,0.232287993,0.188809279,0.145330566
YBR251W,0.143518519,0.40239373,0,0.040239373,0.080478746,0.120718119,0.160957492,0.201196865,0.241436238,0.281675611,0.321914984,0.362154357,0.340290773,0.318427189,0.296563606,0.274700022,0.252836438,0.230972854,0.20910927,0.187245687,0.165382103
YOL146W,0.143518519,0.39238653,0,0.039238653,0.078477306,0.117715959,0.156954612,0.196193265,0.235431918,0.274670571,0.313909224,0.353147877,0.332184941,0.311222005,0.29025907,0.269296134,0.248333198,0.227370262,0.206407326,0.185444391,0.164481455
YPL075W,0.143518519,0.39238653,0,0.039238653,0.078477306,0.117715959,0.156954612,0.196193265,0.235431918,0.274670571,0.313909224,0.353147877,0.332184941,0.311222005,0.29025907,0.269296134,0.248333198,0.227370262,0.206407326,0.185444391,0.164481455
YPR068C,0.143518519,0.39238653,0,0.039238653,0.078477306,0.117715959,0.156954612,0.196193265,0.235431918,0.274670571,0.313909224,0.353147877,0.332184941,0.311222005,0.29025907,0.269296134,0.248333198,0.227370262,0.206407326,0.185444391,0.164481455
YPL116W,0.143518519,0.39238653,0,0.039238653,0.078477306,0.117715959,0.156954612,0.196193265,0.235431918,0.274670571,0.313909224,0.353147877,0.332184941,0.311222005,0.29025907,0.269296134,0.248333198,0.227370262,0.206407326,0.185444391,0.164481455
YPR169W,0.143518519,0.39238653,0,0.039238653,0.078477306,0.117715959,0.156954612,0.196193265,0.235431918,0.274670571,0.313909224,0.353147877,0.332184941,0.311222005,0.29025907,0.269296134,0.248333198,0.227370262,0.206407326,0.185444391,0.164481455
YGR220C,0.143518519,0.378358744,0,0.037835874,0.075671749,0.113507623,0.151343498,0.189179372,0.227015246,0.264851121,0.302686995,0.34052287,0.320822435,0.301121999,0.281421564,0.261721129,0.242020694,0.222320259,0.202619824,0.182919389,0.163218954
YOR251C,0.143518519,0.358223524,0,0.035822352,0.071644705,0.107467057,0.14328941,0.179111762,0.214934114,0.250756467,0.286578819,0.322401172,0.304512906,0.286624641,0.268736376,0.250848111,0.232959845,0.21507158,0.197183315,0.17929505,0.161406784
YPR073C,0.143518519,0.358223524,0,0.035822352,0.071644705,0.107467057,0.14328941,0.179111762,0.214934114,0.250756467,0.286578819,0.322401172,0.304512906,0.286624641,0.268736376,0.250848111,0.232959845,0.21507158,0.197183315,0.17929505,0.161406784
YOL124C,0.143518519,0.358223524,0,0.035822352,0.071644705,0.107467057,0.14328941,0.179111762,0.214934114,0.250756467,0.286578819,0.322401172,0.304512906,0.286624641,0.268736376,0.250848111,0.232959845,0.21507158,0.197183315,0.17929505,0.161406784
YJR121W,0.185185185,0.155518978,0.081747194,0.089124372,0.096501551,0.103878729,0.111255908,0.118633086,0.126010264,0.133387443,0.140764621,0.1481418,0.151846138,0.155550477,0.159254815,0.162959154,0.166663492,0.170367831,0.174072169,0.177776508,0.181480846
YKL173W,0.143518519,0.296447279,0.39238653,0.382792605,0.37319868,0.363604755,0.35401083,0.344416905,0.334822979,0.325229054,0.315635129,0.306041204,0.289788936,0.273536667,0.257284399,0.24103213,0.224779862,0.208527593,0.192275325,0.176023056,0.159770788
YJR022W,0.134259259,0.29572072,0.750610054,0.705121121,0.659632187,0.614143254,0.56865432,0.523165387,0.477676454,0.43218752,0.386698587,0.341209653,0.320514614,0.299819575,0.279124535,0.258429496,0.237734456,0.217039417,0.196344377,0.175649338,0.154954298
YNL284C,0.143518519,0.327194583,0,0.032719458,0.065438917,0.098158375,0.130877833,0.163597292,0.19631675,0.229036208,0.261755666,0.294475125,0.279379464,0.264283804,0.249188143,0.234092482,0.218996822,0.203901161,0.188805501,0.17370984,0.15861418
YER095W,0.134259259,0.308201546,0.39238653,0.383968032,0.375549533,0.367131035,0.358712536,0.350294038,0.34187554,0.333457041,0.325038543,0.316620044,0.298383966,0.280147887,0.261911809,0.24367573,0.225439652,0.207203573,0.188967495,0.170731416,0.152495338
YER118C,0.134259259,0.332013295,0.064421669,0.091180832,0.117939994,0.144699157,0.171458319,0.198217482,0.224976645,0.251735807,0.27849497,0.305254132,0.288154645,0.271055158,0.25395567,0.236856183,0.219756696,0.202657208,0.185557721,0.168458234,0.151358746
YIL021W,0.143518519,0.248481218,0.39238653,0.377995999,0.363605468,0.349214936,0.334824405,0.320433874,0.306043343,0.291652812,0.27726228,0.262871749,0.250936426,0.239001103,0.22706578,0.215130457,0.203195134,0.191259811,0.179324488,0.167389165,0.155453842
YDR101C,0.143518519,0.203308489,0.750610054,0.695879898,0.641149741,0.586419585,0.531689428,0.476959272,0.422229115,0.367498959,0.312768802,0.258038646,0.246586633,0.23513462,0.223682608,0.212230595,0.200778582,0.18932657,0.177874557,0.166422544,0.154970532
YBR127C,0.185185185,0.09435858,0,0.009435858,0.018871716,0.028307574,0.037743432,0.04717929,0.056615148,0.066051006,0.075486864,0.084922722,0.094948968,0.104975215,0.115001461,0.125027707,0.135053954,0.1450802,0.155106446,0.165132692,0.175158939
YOL090W,0.143518519,0.23059128,0.39238653,0.376207005,0.36002748,0.343847955,0.32766843,0.311488905,0.29530938,0.279129855,0.26295033,0.246770805,0.236445576,0.226120348,0.215795119,0.205469891,0.195144662,0.184819433,0.174494205,0.164168976,0.153843748
YNL330C,0.143518519,0.184169862,0.750610054,0.693966035,0.637322016,0.580677996,0.524033977,0.467389958,0.410745939,0.35410192,0.2974579,0.240813881,0.231084345,0.221354809,0.211625273,0.201895736,0.1921662,0.182436664,0.172707128,0.162977591,0.153248055
YER081W,0.134259259,0.30767509,0,0.030767509,0.061535018,0.092302527,0.123070036,0.153837545,0.184605054,0.215372563,0.246140072,0.276907581,0.262642749,0.248377917,0.234113084,0.219848252,0.20558342,0.191318588,0.177053756,0.162788923,0.148524091
YLR310C,0.134259259,0.283257728,0,0.028325773,0.056651546,0.084977318,0.113303091,0.141628864,0.169954637,0.19828041,0.226606182,0.254931955,0.242864686,0.230797416,0.218730146,0.206662877,0.194595607,0.182528337,0.170461068,0.158393798,0.146326529
YNL061W,0.074074074,0.50591898,0.39238653,0.403739775,0.41509302,0.426446265,0.43779951,0.449152755,0.460506,0.471859245,0.48321249,0.494565735,0.452516569,0.410467403,0.368418237,0.326369071,0.284319905,0.242270738,0.200221572,0.158172406,0.11612324
YOL145C,0.143518519,0.195072508,0.39238653,0.372655128,0.352923726,0.333192323,0.313460921,0.293729519,0.273998117,0.254266715,0.234535312,0.21480391,0.207675371,0.200546832,0.193418293,0.186289754,0.179161215,0.172032675,0.164904136,0.157775597,0.150647058
YBL038W,0.143518519,0.232431536,0,0.023243154,0.046486307,0.069729461,0.092972614,0.116215768,0.139458922,0.162702075,0.185945229,0.209188382,0.202621396,0.19605441,0.189487423,0.182920437,0.176353451,0.169786464,0.163219478,0.156652492,0.150085505
YMR106C,0.185185185,0,0.39238653,0.353147877,0.313909224,0.274670571,0.235431918,0.196193265,0.156954612,0.117715959,0.078477306,0.039238653,0.053833306,0.068427959,0.083022613,0.097617266,0.112211919,0.126806572,0.141401225,0.155995879,0.170590532
YMR240C,0.143518519,0.179024979,0.39238653,0.371050375,0.34971422,0.328378065,0.30704191,0.285705755,0.264369599,0.243033444,0.221697289,0.200361134,0.194676873,0.188992611,0.18330835,0.177624088,0.171939827,0.166255565,0.160571304,0.154887042,0.149202781
YEL015W,0.143518519,0.136950674,0.750610054,0.689244116,0.627878178,0.56651224,0.505146302,0.443780364,0.382414426,0.321048488,0.25968255,0.198316612,0.192836803,0.187356993,0.181877184,0.176397375,0.170917566,0.165437756,0.159957947,0.154478138,0.148998328
YDR267C,0.134259259,0.170443123,0.750610054,0.692593361,0.634576668,0.576559975,0.518543282,0.460526589,0.402509895,0.344493202,0.286476509,0.228459816,0.21903976,0.209619705,0.200199649,0.190779593,0.181359538,0.171939482,0.162519426,0.15309937,0.143679315
YNL207W,0.143518519,0.124457919,0.750610054,0.687994841,0.625379627,0.562764414,0.5001492,0.437533987,0.374918773,0.31230356,0.249688346,0.187073133,0.182717671,0.17836221,0.174006748,0.169651287,0.165295826,0.160940364,0.156584903,0.152229442,0.14787398
YMR186W,0.074074074,0.471712707,0.358223524,0.369572442,0.380921361,0.392270279,0.403619197,0.414968116,0.426317034,0.437665952,0.44901487,0.460363789,0.421734817,0.383105846,0.344476874,0.305847903,0.267218931,0.22858996,0.189960988,0.151332017,0.112703045
YBL036C,0.143518519,0.110833653,0.750610054,0.686632414,0.622654774,0.558677134,0.494699494,0.430721854,0.366744213,0.302766573,0.238788933,0.174811293,0.171682016,0.168552738,0.165423461,0.162294183,0.159164906,0.156035629,0.152906351,0.149777074,0.146647796
YIL018W,0.143518519,0.150677904,0.358223524,0.337468962,0.3167144,0.295959838,0.275205276,0.254450714,0.233696152,0.21294159,0.192187028,0.171432466,0.168641071,0.165849677,0.163058282,0.160266887,0.157475493,0.154684098,0.151892703,0.149101308,0.146309914
YNL007C,0.143518519,0.107051826,0.750610054,0.686254231,0.621898408,0.557542586,0.493186763,0.42883094,0.364475117,0.300119294,0.235763472,0.171407649,0.168618736,0.165829823,0.16304091,0.160251997,0.157463084,0.154674171,0.151885258,0.149096345,0.146307432
YGR091W,0.143518519,0.146162573,0.39238653,0.367764134,0.343141739,0.318519343,0.293896947,0.269274552,0.244652156,0.22002976,0.195407364,0.170784969,0.168058324,0.165331679,0.162605034,0.159878389,0.157151744,0.154425099,0.151698454,0.148971809,0.146245164
YDR097C,0.143518519,0.14280921,0.39238653,0.367428798,0.342471066,0.317513334,0.292555602,0.26759787,0.242640138,0.217682406,0.192724674,0.167766942,0.1653421,0.162917257,0.160492415,0.158067573,0.155642731,0.153217888,0.150793046,0.148368204,0.145943361
YGR260W,0.143518519,0.185185301,0,0.01851853,0.03703706,0.05555559,0.07407412,0.092592651,0.111111181,0.129629711,0.148148241,0.166666771,0.164351946,0.162037121,0.159722295,0.15740747,0.155092645,0.15277782,0.150462995,0.148148169,0.145833344
YBR106W,0.143518519,0.166583666,0.103953148,0.1102162,0.116479252,0.122742303,0.129005355,0.135268407,0.141531459,0.147794511,0.154057562,0.160320614,0.158640405,0.156960195,0.155279986,0.153599776,0.151919567,0.150239357,0.148559148,0.146878938,0.145198729
YOR001W,0.143518519,0.134428662,0.39238653,0.366590743,0.340794956,0.31499917,0.289203383,0.263407596,0.237611809,0.211816022,0.186020236,0.160224449,0.158553856,0.156883263,0.15521267,0.153542077,0.151871484,0.150200891,0.148530298,0.146859705,0.145189112
YDL100C,0.143518519,0.119819012,0.509272816,0.470327436,0.431382055,0.392436675,0.353491294,0.314545914,0.275600534,0.236655153,0.197709773,0.158764392,0.157239805,0.155715218,0.15419063,0.152666043,0.151141456,0.149616868,0.148092281,0.146567694,0.145043106
YER017C,0.134259259,0.217554137,0,0.021755414,0.043510827,0.065266241,0.087021655,0.108777069,0.130532482,0.152287896,0.17404331,0.195798723,0.189644777,0.18349083,0.177336884,0.171182938,0.165028991,0.158875045,0.152721098,0.146567152,0.140413205
YBR088C,0.134259259,0.169253297,0.39238653,0.370073207,0.347759883,0.32544656,0.303133237,0.280819914,0.25850659,0.236193267,0.213879944,0.19156662,0.185835884,0.180105148,0.174374412,0.168643676,0.16291294,0.157182204,0.151451467,0.145720731,0.139989995
YIL007C,0.134259259,0.211090712,0,0.021109071,0.042218142,0.063327214,0.084436285,0.105545356,0.126654427,0.147763498,0.16887257,0.189981641,0.184409403,0.178837164,0.173264926,0.167692688,0.16212045,0.156548212,0.150975974,0.145403735,0.139831497
YLL026W,0.134259259,0.126221749,0.750610054,0.688171224,0.625732393,0.563293563,0.500854732,0.438415902,0.375977071,0.313538241,0.25109941,0.18866058,0.183220447,0.177780315,0.172340183,0.166900051,0.161459919,0.156019787,0.150579655,0.145139523,0.139699391
YER036C,0.143518519,0.084307813,0.750610054,0.68397983,0.617349606,0.550719382,0.484089158,0.417458934,0.350828709,0.284198485,0.217568261,0.150938037,0.150196085,0.149454133,0.148712182,0.14797023,0.147228278,0.146486326,0.145744374,0.145002423,0.144260471
YKL210W,0.134259259,0.122706018,0.750610054,0.68781965,0.625029247,0.562238843,0.49944844,0.436658036,0.373867632,0.311077229,0.248286825,0.185496422,0.180372705,0.175248989,0.170125273,0.165001557,0.15987784,0.154754124,0.149630408,0.144506692,0.139382975
YDR062W,0.143518519,0.11137952,0.462176672,0.427096957,0.392017242,0.356937526,0.321857811,0.286778096,0.251698381,0.216618666,0.18153895,0.146459235,0.146165164,0.145871092,0.14557702,0.145282949,0.144988877,0.144694805,0.144400734,0.144106662,0.143812591
YPL111W,0.143518519,0.162358387,0,0.016235839,0.032471677,0.048707516,0.064943355,0.081179194,0.097415032,0.113650871,0.12988671,0.146122548,0.145862145,0.145601742,0.14534134,0.145080937,0.144820534,0.144560131,0.144299728,0.144039325,0.143778922
YDL029W,0.101851852,0.303968865,0.358223524,0.352798058,0.347372592,0.341947126,0.33652166,0.331096195,0.325670729,0.320245263,0.314819797,0.309394331,0.288640083,0.267885835,0.247131587,0.226377339,0.205623091,0.184868844,0.164114596,0.143360348,0.1226061
YBR011C,0.134259259,0.158089853,0.358223524,0.338210157,0.31819679,0.298183423,0.278170056,0.258156689,0.238143321,0.218129954,0.198116587,0.17810322,0.173718824,0.169334428,0.164950032,0.160565636,0.15618124,0.151796843,0.147412447,0.143028051,0.138643655
YDL193W,0.143518519,0.100588809,0.496339678,0.456764591,0.417189504,0.377614417,0.33803933,0.298464244,0.258889157,0.21931407,0.179738983,0.140163896,0.140499358,0.140834821,0.141170283,0.141505745,0.141841207,0.14217667,0.142512132,0.142847594,0.143183057
YKL139W,0.134259259,0.111760159,0.750610054,0.686725065,0.622840075,0.558955086,0.495070096,0.431185107,0.367300117,0.303415128,0.239530138,0.175645149,0.17150656,0.167367971,0.163229382,0.159090793,0.154952204,0.150813615,0.146675026,0.142536437,0.138397848
YEL054C,0.143518519,0.111153797,0.358223524,0.333516551,0.308809579,0.284102606,0.259395633,0.234688661,0.209981688,0.185274715,0.160567742,0.13586077,0.136626545,0.13739232,0.138158094,0.138923869,0.139689644,0.140455419,0.141221194,0.141986969,0.142752744
YDL175C,0.143518519,0.106258092,0.39238653,0.363773686,0.335160842,0.306547999,0.277935155,0.249322311,0.220709467,0.192096623,0.16348378,0.134870936,0.135735694,0.136600452,0.137465211,0.138329969,0.139194727,0.140059486,0.140924244,0.141789002,0.142653761
YOR027W,0.134259259,0.150884288,0.358223524,0.3374896,0.316755677,0.296021753,0.27528783,0.254553906,0.233819982,0.213086059,0.192352135,0.171618212,0.167882316,0.164146421,0.160410526,0.156674631,0.152938735,0.14920284,0.145466945,0.14173105,0.137995154
YER041W,0.143518519,0.064586033,0.750610054,0.682007652,0.61340525,0.544802848,0.476200446,0.407598044,0.338995641,0.270393239,0.201790837,0.133188435,0.134221443,0.135254452,0.13628746,0.137320469,0.138353477,0.139386485,0.140419494,0.141452502,0.142485511
YHR166C,0.134259259,0.145054708,0.39238653,0.367653348,0.342920166,0.318186983,0.293453801,0.268720619,0.243987437,0.219254255,0.194521072,0.16978789,0.166235027,0.162682164,0.159129301,0.155576438,0.152023575,0.148470711,0.144917848,0.141364985,0.137812122
YBR155W,0.134259259,0.147603215,0.358223524,0.337161493,0.316099462,0.295037431,0.2739754,0.25291337,0.231851339,0.210789308,0.189727277,0.168665246,0.165224647,0.161784049,0.15834345,0.154902851,0.151462252,0.148021654,0.144581055,0.141140456,0.137699858
YKL085W,0.134259259,0.185997698,0,0.01859977,0.03719954,0.055799309,0.074399079,0.092998849,0.111598619,0.130198389,0.148798158,0.167397928,0.164084061,0.160770194,0.157456327,0.154142461,0.150828594,0.147514727,0.14420086,0.140886993,0.137573126
YKL171W,0.143518519,0.105021619,0.358223524,0.332903334,0.307583143,0.282262953,0.256942762,0.231622572,0.206302381,0.180982191,0.155662,0.13034181,0.13165948,0.132977151,0.134294822,0.135612493,0.136930164,0.138247835,0.139565506,0.140883177,0.142200848
YBR221C,0.143518519,0.143796855,0,0.014379686,0.028759371,0.043139057,0.057518742,0.071898428,0.086278113,0.100657799,0.115037484,0.12941717,0.130827304,0.132237439,0.133647574,0.135057709,0.136467844,0.137877979,0.139288114,0.140698249,0.142108384
YDR404C,0.143518519,0.060153171,0.750610054,0.681564366,0.612518677,0.543472989,0.474427301,0.405381613,0.336335924,0.267290236,0.198244548,0.129198859,0.130630825,0.132062791,0.133494757,0.134926723,0.136358689,0.137790655,0.139222621,0.140654587,0.142086553
YBL056W,0.134259259,0.10050653,0.750610054,0.685599702,0.620589349,0.555578997,0.490568644,0.425558292,0.36054794,0.295537587,0.230527235,0.165516882,0.16239112,0.159265358,0.156139595,0.153013833,0.149888071,0.146762308,0.143636546,0.140510784,0.137385021
YGL128C,0.143518519,0.059300842,0.750610054,0.681479133,0.612348212,0.54321729,0.474086369,0.404955448,0.335824527,0.266693606,0.197562684,0.128431763,0.129940439,0.131449114,0.13295779,0.134466466,0.135975141,0.137483817,0.138992492,0.140501168,0.142009843
YNL088W,0.143518519,0.099080033,0.39238653,0.36305588,0.333725231,0.304394581,0.275063931,0.245733282,0.216402632,0.187071982,0.157741332,0.128410683,0.129921466,0.13143225,0.132943034,0.134453817,0.135964601,0.137475384,0.138986168,0.140496952,0.142007735
YKL067W,0.143518519,0.102854713,0.358223524,0.332686643,0.307149762,0.281612881,0.256076,0.230539119,0.205002237,0.179465356,0.153928475,0.128391594,0.129904287,0.131416979,0.132929672,0.134442364,0.135955057,0.137467749,0.138980442,0.140493134,0.142005827
YNL102W,0.143518519,0.097446826,0.39238653,0.36289256,0.333398589,0.303904619,0.274410648,0.244916678,0.215422708,0.185928737,0.156434767,0.126940796,0.128598569,0.130256341,0.131914113,0.133571885,0.135229658,0.13688743,0.138545202,0.140202974,0.141860747
YGR192C,0.143518519,0.100630185,0.358223524,0.33246419,0.306704856,0.280945522,0.255186188,0.229426855,0.203667521,0.177908187,0.152148853,0.126389519,0.128102419,0.129815319,0.131528219,0.133241119,0.134954019,0.136666919,0.138379819,0.140092719,0.141805619
YLR153C,0.143518519,0.056772101,0.750610054,0.681226259,0.611842463,0.542458668,0.473074873,0.403691078,0.334307282,0.264923487,0.195539692,0.126155896,0.127892159,0.129628421,0.131364683,0.133100945,0.134837208,0.13657347,0.138309732,0.140045994,0.141782257
YNL185C,0.143518519,0.139094314,0,0.013909431,0.027818863,0.041728294,0.055637726,0.069547157,0.083456588,0.09736602,0.111275451,0.125184883,0.127018246,0.12885161,0.130684974,0.132518337,0.134351701,0.136185064,0.138018428,0.139851792,0.141685155
