Proteins,Ortho(O),Fun_Go(F),Sub_cell(S),O*F,F*S,O*S,O*F*S,"larg(O,F,S)"
YBL039C,0,0.074074074,0,0,0,0,0,0.074074074
YBL040C,0,0.143518519,0.103953148,0,0.014919202,0,0,0.143518519
YBL041W,0.023818671,0.143518519,0.750610054,0.00341842,0.107726443,0.017878534,0.002565901,0.750610054
YBL042C,0,0.143518519,0,0,0,0,0,0.143518519
YBL043W,0,0.143518519,0,0,0,0,0,0.143518519
YBL044W,0,0.143518519,0,0,0,0,0,0.143518519
YBL045C,0.023818671,0.134259259,0,0.003197877,0,0,0,0.134259259
YBL046W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBL047C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YBL049W,0,0.134259259,0,0,0,0,0,0.134259259
YBL050W,0,0.143518519,0.081747194,0,0.011732236,0,0,0.143518519
YBL051C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YBL052C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBL053W,0,0.143518519,0,0,0,0,0,0.143518519
YBL054W,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YBL056W,0.10050653,0.134259259,0.750610054,0.013493932,0.10077635,0.075441212,0.010128681,0.750610054
YBL058W,0.032231525,0.143518519,0.750610054,0.004625821,0.107726443,0.024193307,0.003472188,0.750610054
YBL059W,0,0.143518519,0,0,0,0,0,0.143518519
YBL061C,0.032425636,0.143518519,0.405319668,0.004653679,0.058170878,0.013142748,0.001886228,0.405319668
YBL063W,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YBL064C,0,0.143518519,0,0,0,0,0,0.143518519
YBL065W,0,0.143518519,0,0,0,0,0,0.143518519
YBL066C,0.023818671,0.143518519,0.39238653,0.00341842,0.056314734,0.009346126,0.001341342,0.39238653
YBL067C,0,0.143518519,0,0,0,0,0,0.143518519
YBL068W,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YBL071C,0,0.143518519,0,0,0,0,0,0.143518519
YBL072C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YBL074C,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YBL075C,0.23477374,0.013888889,0.358223524,0.003260746,0.004975327,0.084101476,0.001168076,0.358223524
YBL076C,0.056479724,0.143518519,0.358223524,0.008105886,0.05141171,0.020232366,0.002903719,0.358223524
YBL078C,0,0.143518519,0.550512445,0,0.079008731,0,0,0.550512445
YBL079W,0,0.143518519,0.832357247,0,0.119458679,0,0,0.832357247
YBL080C,0,0.143518519,0,0,0,0,0,0.143518519
YBL081W,0,0.143518519,0,0,0,0,0,0.143518519
YBL082C,0,0.143518519,0.103953148,0,0.014919202,0,0,0.143518519
YBL084C,0.045469743,0.143518519,0.750610054,0.00652575,0.107726443,0.034130046,0.004898294,0.750610054
YBL085W,0,0.134259259,0,0,0,0,0,0.134259259
YBL086C,0,0.143518519,0,0,0,0,0,0.143518519
YBL088C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBL089W,0,0.143518519,0.041239629,0,0.00591865,0,0,0.143518519
YBL090W,0.023818671,0.143518519,0,0.00341842,0,0,0,0.143518519
YBL091C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YBL092W,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YBL093C,0.023818671,0.143518519,0.39238653,0.00341842,0.056314734,0.009346126,0.001341342,0.39238653
YBL094C,0,0.143518519,0,0,0,0,0,0.143518519
YBL095W,0,0.143518519,0,0,0,0,0,0.143518519
YBL097W,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YBL098W,0,0.143518519,0,0,0,0,0,0.143518519
YBL099W,0.124674841,0.101851852,0.081747194,0.012698363,0.008326103,0.010191818,0.001038056,0.124674841
YBL100C,0,0.143518519,0,0,0,0,0,0.143518519
YBL100W-A,0.043347022,0.143518519,0.358223524,0.0062211,0.05141171,0.015527923,0.002228545,0.358223524
YBL101C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YBL102W,0,0.143518519,0.047096144,0,0.006759169,0,0,0.143518519
YBL103C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBL104C,0,0.143518519,0.481210347,0,0.069062596,0,0,0.481210347
YBL105C,0,0.143518519,0,0,0,0,0,0.143518519
YBL106C,0,0.143518519,0,0,0,0,0,0.143518519
YBL107C,0,0.143518519,0,0,0,0,0,0.143518519
YBL108W,0,0.143518519,0,0,0,0,0,0.143518519
YBL112C,0,0.143518519,0,0,0,0,0,0.143518519
YBL113C,0,0.143518519,0,0,0,0,0,0.143518519
YBR001C,0,0.143518519,0,0,0,0,0,0.143518519
YBR003W,0.023818671,0.143518519,0.081747194,0.00341842,0.011732236,0.00194711,0.000279446,0.143518519
YBR004C,0,0.143518519,0.103953148,0,0.014919202,0,0,0.143518519
YBR006W,0,0.143518519,0,0,0,0,0,0.143518519
YBR007C,0,0.143518519,0,0,0,0,0,0.143518519
YBR008C,0,0.143518519,0,0,0,0,0,0.143518519
YBR010W,0.037647935,,0,0,0,0,0,0.037647935
YBR011C,0.158089853,0.134259259,0.358223524,0.021225027,0.048094825,0.056631504,0.007603304,0.358223524
YBR012C,0,0.143518519,0,0,0,0,0,0.143518519
YBR012W-B,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YBR013C,0,0.143518519,0,0,0,0,0,0.143518519
YBR014C,0.032806013,0.143518519,0,0.00470827,0,0,0,0.143518519
YBR015C,0,0.143518519,0.047096144,0,0.006759169,0,0,0.143518519
YBR017C,0,0.018518519,0.750610054,0,0.013900187,0,0,0.750610054
YBR018C,0.023818671,0.134259259,0,0.003197877,0,0,0,0.134259259
YBR019C,0.06620731,0.074074074,0,0.004904245,0,0,0,0.074074074
YBR020W,0.373861179,0.185185185,0,0.069233552,0,0,0,0.373861179
YBR021W,0.023818671,0.143518519,0,0.00341842,0,0,0,0.143518519
YBR023C,0,0.143518519,0.422645193,0,0.060657412,0,0,0.422645193
YBR024W,0,0.143518519,0,0,0,0,0,0.143518519
YBR025C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YBR027C,0,0.143518519,0,0,0,0,0,0.143518519
YBR028C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YBR029C,0,0.143518519,0.509272816,0,0.07309008,0,0,0.509272816
YBR033W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBR034C,0.043990464,0.143518519,0.39238653,0.006313446,0.056314734,0.017261266,0.002477311,0.39238653
YBR035C,0,0.143518519,0,0,0,0,0,0.143518519
YBR036C,0.023818671,0.143518519,0.103953148,0.00341842,0.014919202,0.002476026,0.000355356,0.143518519
YBR037C,0,0.143518519,0,0,0,0,0,0.143518519
YBR038W,0,0.143518519,0,0,0,0,0,0.143518519
YBR039W,0.123317797,0.013888889,0.081747194,0.001712747,0.001135378,0.010080884,0.000140012,0.123317797
YBR040W,0,0.143518519,0,0,0,0,0,0.143518519
YBR041W,0,0.143518519,0,0,0,0,0,0.143518519
YBR042C,0.043271306,0.143518519,0,0.006210234,0,0,0,0.143518519
YBR043C,0,0.143518519,0.047096144,0,0.006759169,0,0,0.143518519
YBR044C,0.070088585,0.143518519,0,0.01005901,0,0,0,0.143518519
YBR045C,0,0.143518519,0,0,0,0,0,0.143518519
YBR047W,0,0.143518519,0,0,0,0,0,0.143518519
YBR049C,0.041637449,0.143518519,0.39238653,0.005975745,0.056314734,0.016337974,0.002344802,0.39238653
YBR050C,0,0.143518519,0,0,0,0,0,0.143518519
YBR052C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YBR053C,0,0.143518519,0,0,0,0,0,0.143518519
YBR054W,0.029489783,0.143518519,0,0.00423233,0,0,0,0.143518519
YBR055C,0,0.018518519,0.39238653,0,0.007266417,0,0,0.39238653
YBR056W,0,0.143518519,0,0,0,0,0,0.143518519
YBR057C,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YBR058C,0.023818671,0.143518519,0.750610054,0.00341842,0.107726443,0.017878534,0.002565901,0.750610054
YBR058C-A,0.023818671,0.143518519,0.103953148,0.00341842,0.014919202,0.002476026,0.000355356,0.143518519
YBR059C,0,0.143518519,0,0,0,0,0,0.143518519
YBR060C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBR061C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YBR063C,0,0.143518519,0,0,0,0,0,0.143518519
YBR064W,0,0.143518519,0,0,0,0,0,0.143518519
YBR065C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBR066C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBR067C,0,0.143518519,0,0,0,0,0,0.143518519
YBR068C,0,0.143518519,0.047096144,0,0.006759169,0,0,0.143518519
YBR069C,0.042563189,0.143518519,0,0.006108606,0,0,0,0.143518519
YBR070C,0,0.143518519,0.496339678,0,0.071233936,0,0,0.496339678
YBR072W,0.441968669,0.185185185,0,0.08184605,0,0,0,0.441968669
YBR073W,0.035755321,0.143518519,0.39238653,0.005131551,0.056314734,0.014029906,0.002013551,0.39238653
YBR074W,0.023818671,0.143518519,0.041239629,0.00341842,0.00591865,0.000982273,0.000140974,0.143518519
YBR076W,0,0.143518519,0,0,0,0,0,0.143518519
YBR077C,0,0.143518519,0.041239629,0,0.00591865,0,0,0.143518519
YBR078W,0,0.143518519,0.047096144,0,0.006759169,0,0,0.143518519
YBR079C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YBR080C,0.030514111,0.143518519,0.358223524,0.00437934,0.05141171,0.010930872,0.001568783,0.358223524
YBR081C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBR082C,0.023818671,0.143518519,0,0.00341842,0,0,0,0.143518519
YBR083W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBR084W,0.052096009,0.143518519,0,0.007476742,0,0,0,0.143518519
YBR085W,0,0.134259259,0,0,0,0,0,0.134259259
YBR086C,0,0.143518519,0.047096144,0,0.006759169,0,0,0.143518519
YBR087W,0.023818671,0.143518519,0.39238653,0.00341842,0.056314734,0.009346126,0.001341342,0.39238653
YBR088C,0.169253297,0.134259259,0.39238653,0.022723822,0.052681525,0.066412714,0.008916522,0.39238653
YBR089C-A,0.023818671,0.143518519,0.39238653,0.00341842,0.056314734,0.009346126,0.001341342,0.39238653
YBR089W,0,0.143518519,0,0,0,0,0,0.143518519
YBR090C,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YBR091C,0,0.143518519,0.081747194,0,0.011732236,0,0,0.143518519
YBR093C,0.023818671,0.143518519,0,0.00341842,0,0,0,0.143518519
YBR094W,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YBR095C,0.023818671,0.143518519,0.39238653,0.00341842,0.056314734,0.009346126,0.001341342,0.39238653
YBR096W,0,0.143518519,0,0,0,0,0,0.143518519
YBR097W,0,0.143518519,0.151049292,0,0.021678371,0,0,0.151049292
YBR098W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBR099C,0,0.143518519,0,0,0,0,0,0.143518519
YBR101C,0.058403496,0.143518519,0.358223524,0.008381983,0.05141171,0.020921506,0.003002624,0.358223524
YBR102C,0,0.143518519,0.375549048,0,0.053898243,0,0,0.375549048
YBR103W,0.077437028,0.134259259,0.39238653,0.010396638,0.052681525,0.030385247,0.004079501,0.39238653
YBR105C,0,0.143518519,0.439970717,0,0.063143946,0,0,0.439970717
YBR106W,0.166583666,0.143518519,0.103953148,0.023907841,0.014919202,0.017316896,0.002485295,0.166583666
YBR107C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBR108W,0,0.143518519,0.081747194,0,0.011732236,0,0,0.143518519
YBR109C,0.268147649,0.074074074,0.358223524,0.019862789,0.026535076,0.096056796,0.007115318,0.358223524
YBR109W-A,0,0.143518519,0,0,0,0,0,0.143518519
YBR110W,0.112076397,0.143518519,0.103953148,0.016085039,0.014919202,0.011650694,0.00167209,0.143518519
YBR111W-A,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YBR112C,0.029572439,0.143518519,0.39238653,0.004244193,0.056314734,0.011603827,0.001665364,0.39238653
YBR113W,0,0.143518519,0,0,0,0,0,0.143518519
YBR114W,0.272390911,0.013888889,0.39238653,0.003783207,0.005449813,0.106882524,0.00148448,0.39238653
YBR115C,0,0.143518519,0,0,0,0,0,0.143518519
YBR116C,0,0.143518519,0,0,0,0,0,0.143518519
YBR117C,0.023818671,0.143518519,0,0.00341842,0,0,0,0.143518519
YBR118W,0.135461766,,0,0,0,0,0,0.135461766
YBR119W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBR120C,0,0.143518519,0,0,0,0,0,0.143518519
YBR121C,0.023818671,0.143518519,0.358223524,0.00341842,0.05141171,0.008532408,0.001224559,0.358223524
YBR122C,0.040297867,0.143518519,0,0.00578349,0,0,0,0.143518519
YBR123C,0.023818671,0.143518519,0.39238653,0.00341842,0.056314734,0.009346126,0.001341342,0.39238653
YBR124W,0,0.143518519,0,0,0,0,0,0.143518519
YBR125C,0.023818671,0.143518519,0,0.00341842,0,0,0,0.143518519
YBR126C,0.023818671,0.134259259,0.358223524,0.003197877,0.048094825,0.008532408,0.001145555,0.358223524
YBR127C,0.09435858,0.185185185,0,0.017473811,0,0,0,0.185185185
YBR128C,0,0.143518519,0.122986823,0,0.017650887,0,0,0.143518519
YBR129C,0,0.143518519,0,0,0,0,0,0.143518519
YBR130C,0.023818671,0.134259259,0.185700342,0.003197877,0.02493199,0.004423135,0.000593847,0.185700342
YBR131W,0,0.143518519,0.226939971,0,0.032570089,0,0,0.226939971
YBR132C,0.023818671,0.143518519,0,0.00341842,0,0,0,0.143518519
YBR133C,0,0.143518519,0.017325525,0,0.002486534,0,0,0.143518519
YBR134W,0,0.143518519,0,0,0,0,0,0.143518519
YBR135W,0.023818671,0.143518519,0,0.00341842,0,0,0,0.143518519
YBR136W,0.054750314,0.134259259,0.39238653,0.007350737,0.052681525,0.021483286,0.00288433,0.39238653
YBR137W,0.023818671,0.143518519,0.358223524,0.00341842,0.05141171,0.008532408,0.001224559,0.358223524
YBR138C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YBR139W,0,0.143518519,0,0,0,0,0,0.143518519
YBR140C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YBR141C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBR142W,0.023818671,0.143518519,0.39238653,0.00341842,0.056314734,0.009346126,0.001341342,0.39238653
YBR143C,0.023818671,0.143518519,0.358223524,0.00341842,0.05141171,0.008532408,0.001224559,0.358223524
YBR144C,0,0.143518519,0,0,0,0,0,0.143518519
YBR145W,0,0.143518519,0,0,0,0,0,0.143518519
YBR146W,0.047315133,0.143518519,0,0.006790598,0,0,0,0.143518519
YBR149W,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YBR150C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBR152W,0.023818671,0.143518519,0.39238653,0.00341842,0.056314734,0.009346126,0.001341342,0.39238653
YBR154C,0.070451451,0.143518519,0.39238653,0.010111088,0.056314734,0.0276442,0.003967455,0.39238653
YBR155W,0.147603215,0.134259259,0.358223524,0.019817098,0.048094825,0.052874944,0.007098951,0.358223524
YBR156C,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YBR157C,0,0.143518519,0,0,0,0,0,0.143518519
YBR158W,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YBR159W,0,0.143518519,0.103953148,0,0.014919202,0,0,0.143518519
YBR160W,0,0.018518519,0,0,0,0,0,0.018518519
YBR161W,0,0.143518519,0.041239629,0,0.00591865,0,0,0.143518519
YBR162C,0.023818671,0.143518519,0,0.00341842,0,0,0,0.143518519
YBR162W-A,0.023818671,0.143518519,0.462176672,0.00341842,0.066330911,0.011008434,0.001579914,0.462176672
YBR163W,0,0.143518519,0,0,0,0,0,0.143518519
YBR166C,0,0.143518519,0,0,0,0,0,0.143518519
YBR167C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBR168W,0,0.143518519,0.013421181,0,0.001926188,0,0,0.143518519
YBR169C,0.046699977,0.143518519,0,0.006702312,0,0,0,0.143518519
YBR170C,0.023818671,0.143518519,0.936310395,0.00341842,0.134377881,0.022301669,0.003200703,0.936310395
YBR171W,0.032912314,0.143518519,0.103953148,0.004723527,0.014919202,0.003421339,0.000491025,0.143518519
YBR172C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YBR173C,0,0.143518519,0,0,0,0,0,0.143518519
YBR174C,0,0.143518519,0,0,0,0,0,0.143518519
YBR175W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBR176W,0,0.143518519,0,0,0,0,0,0.143518519
YBR177C,0,0.143518519,0,0,0,0,0,0.143518519
YBR178W,0,0.143518519,0,0,0,0,0,0.143518519
YBR179C,0,0.143518519,0,0,0,0,0,0.143518519
YBR180W,0,0.143518519,0,0,0,0,0,0.143518519
YBR182C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBR183W,0,0.143518519,0.151049292,0,0.021678371,0,0,0.151049292
YBR184W,0,0.143518519,0,0,0,0,0,0.143518519
YBR185C,0,0.143518519,0.081747194,0,0.011732236,0,0,0.143518519
YBR186W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBR187W,0,0.143518519,0.088335774,0,0.012677819,0,0,0.143518519
YBR188C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YBR190W,0,0.143518519,0,0,0,0,0,0.143518519
