protein,degree,betweenness,closeness,eigenvector,clustering,OS,P_Ci,GO_Nb,essential,phys_1,phys_2,phys_3,phys_4,phys_5,phys_6,phys_7,phys_8,phys_9,phys_10,N_c,Sim_Loc,Ortho_Sim_Loc
YLR182W,6,0.003343058617009523,0.16974915690701967,5.035112163208456e-08,0.13333333333333333,2.995798319327731,0.5,3.0,1,0.05479,-0.73935,45.6533,4.74017,140.0,87.0,53580.0,0.0,0.59166,5e-05,0.3167384070100485,0.19390444008233815,0.5323627326364632
YER111C,4,0.0010831180114563334,0.17368289805307183,2.15842672548659e-06,0.3333333333333333,2.9684873949579833,0.0,4.587301587301587,0,0.05947,-0.83943,53.37833,8.85895,110.0,122.0,64595.0,0.0,0.52175,7e-05,0.0,0.0,0.5
YPR119W,5,0.006267099296146216,0.1799294577822284,0.00012030538251862678,0.0,2.874747474747475,0.0,0.0,0,0.07943,-0.56802,50.12037,6.2757,68.0,63.0,43485.0,0.0,0.77312,0.00011,0.0,0.0,0.5
YPL204W,4,0.001190681622088007,0.14342772393249742,9.470036827314031e-10,0.5,3.513655462184874,0.3333333333333333,2.2666666666666666,1,0.09919,-0.77834,53.95324,9.31451,51.0,65.0,56895.0,0.0,0.99225,0.00016,0.6832615929899515,0.2240360033604539,0.5318807586246864
YDR085C,3,0.0005003761518987937,0.1928695900199914,4.721882401283158e-07,0.0,1.9712858926342072,0.0,0.0,0,0.08065,-0.95097,46.00485,8.84259,87.0,96.0,57145.0,0.0,0.80076,0.00012,0.0,0.0,0.5
YHR107C,13,0.00537078862363032,0.20588335178653772,1.0932740909608858e-07,0.08974358974358974,10.044838373305527,0.0,19.943722943722943,1,0.07125,-0.66855,45.76904,7.76678,58.0,59.0,31650.0,0.0,0.6782,0.00017,0.6832615929899515,0.0,0.5
YDR477W,15,0.011665245674604058,0.21052303855647891,3.1355955038671093e-06,0.11428571428571428,11.40650406504065,0.25,5.885714285714286,0,0.07899,-0.56888,52.26746,6.17572,83.0,70.0,73270.0,0.0,1.01701,9e-05,0.0,0.0,0.5
YNL257C,1,0.0,0.1714023660873315,5.8718820636307164e-08,0.0,1.0,0.5,0.0,0,0.11554,-0.31749,42.03744,8.78949,156.0,174.0,163720.0,0.0,1.14635,6e-05,0.0,0.0,0.5
YER032W,9,0.011763799176572975,0.21622720601188156,1.8465581070221884e-05,0.027777777777777776,5.544332210998878,0.0,2.2403846153846154,0,0.04795,-0.954,65.65183,7.20953,113.0,112.0,27735.0,0.0,0.28069,7e-05,0.0,0.0,0.5
YDR195W,4,0.0040560101071229855,0.19113034131720277,1.8007083560969226e-05,0.0,3.807855626326964,1.0,0.0,0,0.05441,-0.70694,40.59268,9.63202,61.0,90.0,18255.0,0.0,0.30518,0.00016,0.0,0.0,0.5
YLR240W,1,0.0,0.00043122035360068997,1.526654176624869e-14,0.0,0.0,0.0,0.0,1,0.09257,-0.30457,40.58288,7.83832,108.0,110.0,108065.0,0.0,1.0708,8e-05,0.3167384070100485,0.0,0.0
YBR097W,1,0.0,0.00043122035360068997,1.526654176624869e-14,0.0,0.0,0.0,0.0,0,0.09972,-0.11809,40.56914,6.34613,162.0,153.0,144585.0,0.0,0.86906,4e-05,0.0,0.0,0.0
YGL086W,5,0.0013679656714681398,0.1715216855207372,4.107350698076413e-08,0.0,2.927179487179487,1.0,7.428571428571429,0,0.06142,-0.97704,42.53658,5.32245,125.0,108.0,60695.0,0.0,0.69247,6e-05,0.0,0.0,0.5
YGL116W,4,0.00263131011579445,0.17505570248706148,2.151849233767885e-06,0.0,3.9161290322580644,1.0,5.2,1,0.06721,-0.52607,49.28528,8.99945,62.0,73.0,85590.0,0.0,1.27065,0.00013,0.6832615929899515,0.40591527534130006,0.5518260854018958
YLR178C,4,5.398188644833502e-06,0.17914452512990203,1.5871928271837722e-06,0.5,2.0,0.0,4.964285714285714,0,0.11416,-0.55845,41.96854,6.06708,25.0,22.0,28670.0,0.0,1.17707,0.00025,0.0,0.0,0.5
YJL061W,6,0.0010752858691889704,0.19489096401070913,9.273392420837816e-07,0.13333333333333333,2.997719498289624,0.25,0.0,1,0.08976,-0.34516,47.52344,5.21588,98.0,79.0,75955.0,0.0,0.92533,6e-05,0.6832615929899515,0.18303056670342058,0.5305283010648345
YFR002W,10,0.0008520505009017021,0.19334254144230625,1.9557294569960878e-05,0.24444444444444444,3.782212086659065,0.25,11.708333333333332,1,0.08582,-0.36496,45.17607,6.37543,108.0,103.0,95285.0,0.0,0.99077,7e-05,0.3167384070100485,0.13971984388753125,0.5184706516565217
YGR119C,21,0.002354311309874945,0.20127920044974087,3.7538143740056484e-05,0.1523809523809524,15.845610494450051,0.25,44.16666666666666,1,0.06285,-0.70702,40.75453,9.58783,33.0,46.0,36565.0,0.0,0.63594,0.00017,0.6832615929899515,0.18303056670342058,0.505775434362959
YGL172W,20,0.006804545080142993,0.21535313121428082,5.9827591218636136e-05,0.18421052631578946,16.251261352169525,0.25,39.595238095238095,1,0.06356,-0.40678,31.74852,5.77325,32.0,28.0,7700.0,0.0,0.15669,0.00012,0.6832615929899515,0.18303056670342058,0.5056312726359232
YPR141C,6,0.00042057736710835223,0.17076385774965885,5.819822613529955e-09,0.3333333333333333,4.2902564102564105,0.3333333333333333,1.9,0,0.0535,-0.7775,45.94885,8.82953,104.0,113.0,44975.0,0.0,0.5354,0.00011,0.0,0.0,0.5
YMR198W,3,0.00020605806357121157,0.17319455320308516,4.290095866469842e-09,0.3333333333333333,2.9377085650723025,0.3333333333333333,6.666666666666666,1,0.05556,-0.77828,46.4697,6.04132,104.0,96.0,33360.0,0.0,0.483,9e-05,0.6832615929899515,0.2240360033604539,0.5381310804659312
YFR034C,11,0.00848511323714499,0.20739974852738977,1.7244125663555563e-05,0.12727272727272726,7.3791322314049586,0.5,28.000000000000004,0,0.03526,-0.75962,61.10353,7.25238,38.0,38.0,17085.0,0.0,0.5012,0.00021,0.0,0.0,0.5
YBR119W,5,0.0007452747840973048,0.1786412189599703,8.477199688388792e-08,0.0,2.5399792315680165,1.0,0.0,0,0.05034,-0.67248,46.61577,10.15704,30.0,57.0,10555.0,0.0,0.30703,0.0003,0.0,0.0,0.5
YLR223C,2,0.0003992279041977122,0.18882337484474684,2.602078183865138e-08,0.0,0.0,1.0,0.0,1,0.05161,-1.26267,53.71707,4.51776,250.0,136.0,56980.0,0.0,0.46518,4e-05,0.3167384070100485,0.24054770888719992,0.5
YLR449W,1,0.0,0.14965660997679084,1.6207038264457008e-09,0.0,1.0,1.0,0.0,0,0.05612,-1.04923,56.59337,4.58148,94.0,59.0,23505.0,0.0,0.53539,0.0001,0.0,0.0,0.5
YNL227C,2,0.00031872262064364804,0.1871560206992321,3.2698088616675285e-07,0.0,0.0,1.0,0.0,0,0.08983,-1.09542,48.91053,5.92291,115.0,107.0,69510.0,0.0,1.01058,9e-05,0.0,0.0,0.0
YML016C,7,0.002217623520193266,0.18214075124785736,2.57997470027366e-08,0.047619047619047616,6.5267406659939455,0.0,2.0,0,0.07514,-0.82832,54.31288,8.50665,77.0,83.0,56280.0,0.0,0.72629,0.00011,0.0,0.0,0.5
YDR110W,5,0.004455347069208686,0.19439124359016888,4.367865177336064e-06,0.0,4.463336875664187,0.5,0.0,0,0.09364,-0.75742,47.93269,5.84186,89.0,79.0,57855.0,0.0,0.88575,9e-05,0.0,0.0,0.5
YIL061C,29,0.0237597203947642,0.22068150582224724,1.2443375521102178e-06,0.0,25.386706948640484,1.0,0.0,1,0.1,-0.87967,43.77833,9.97211,32.0,55.0,33935.0,0.0,0.98515,0.00029,0.6832615929899515,0.40591527534130006,0.5079946421598222
YAL047C,11,0.013671317534082994,0.21568302987244908,1.620839766651241e-07,0.01818181818181818,4.585666293393057,0.0,0.0,0,0.05305,-0.79068,54.85965,4.97198,109.0,76.0,32890.0,0.0,0.45614,7e-05,0.0,0.0,0.5
YCR101C,1,0.0,0.1780763582983388,2.348714549369602e-08,0.0,1.0,0.0,0.0,0,0.13736,-0.12857,44.27423,4.67609,28.0,17.0,43805.0,0.0,2.07363,0.00022,0.0,0.0,0.5
YFR039C,1,0.0,0.1780763582983388,2.348714549369602e-08,0.0,1.0,0.0,0.0,0,0.10784,-0.48333,38.29492,4.66949,92.0,53.0,77530.0,0.0,1.30612,8e-05,0.0,0.0,0.5
YGR203W,1,0.0,0.1780763582983388,2.348714549369602e-08,0.0,1.0,0.5,0.0,0,0.10811,-0.58311,59.76892,7.01398,19.0,19.0,39670.0,0.0,2.29993,0.00041,0.0,0.0,0.5
YLR017W,1,0.0,0.1780763582983388,2.348714549369602e-08,0.0,1.0,0.5,0.0,0,0.09199,-0.2451,40.55312,7.66986,34.0,35.0,33640.0,0.0,0.88863,0.0002,0.0,0.0,0.5
YLR213C,1,0.0,0.1780763582983388,2.348714549369602e-08,0.0,1.0,0.0,0.0,0,0.10664,-0.43863,34.42133,7.93097,47.0,49.0,92580.0,0.0,1.95501,0.00017,0.0,0.0,0.5
YMR009W,1,0.0,0.1780763582983388,2.348714549369602e-08,0.0,1.0,0.5,0.0,0,0.10615,-0.6324,41.01291,5.17963,31.0,22.0,27890.0,0.0,1.33578,0.00025,0.0,0.0,0.5
YMR044W,1,0.0,0.1780763582983388,2.348714549369602e-08,0.0,1.0,1.0,0.0,0,0.07579,-0.97726,54.08442,5.2132,99.0,84.0,59525.0,0.0,1.07396,9e-05,0.0,0.0,0.5
YOR275C,2,0.0009987452008533883,0.18329246884920142,2.4230400836586352e-08,0.0,1.0,0.5,2.4,0,0.09228,-0.44614,40.27794,5.71759,90.0,82.0,69970.0,0.0,0.92131,8e-05,0.0,0.0,0.5
YLR153C,1,0.0,0.1780763582983388,2.348714549369602e-08,0.0,1.0,0.3333333333333333,0.0,1,0.0937,-0.26135,32.02551,6.20673,80.0,71.0,118440.0,0.0,1.56894,8e-05,0.3167384070100485,0.16241202693656576,0.5812060134682828
YNR016C,1,0.0,0.1780763582983388,2.348714549369602e-08,0.0,1.0,0.3333333333333333,0.0,1,0.0824,-0.29651,41.22638,5.8891,296.0,259.0,234820.0,0.0,0.93797,2e-05,0.3167384070100485,0.16241202693656576,0.5812060134682828
YNL199C,4,0.0025382610276708244,0.19832248817831896,2.1978935101095943e-06,0.0,2.844804318488529,1.0,0.0,0,0.05056,-0.75337,39.05618,9.00421,48.0,53.0,40005.0,0.0,0.68901,0.00016,0.0,0.0,0.5
YHR079C,2,0.0004313835967286002,0.18731608951860804,6.524622527650924e-08,0.0,1.9546827794561934,0.5,0.0,0,0.08879,-0.36448,47.14702,6.14484,144.0,132.0,103860.0,0.0,0.81796,5e-05,0.0,0.0,0.5
YBL063W,1,0.0,0.1780763582983388,2.348714549369602e-08,0.0,1.0,0.0,0.0,0,0.05131,-0.62547,46.92566,6.41766,135.0,127.0,41770.0,0.0,0.33205,5e-05,0.0,0.0,0.5
YFL016C,3,0.0023559000104959897,0.18478740133161267,2.4424530300955827e-08,0.3333333333333333,2.915151515151515,0.0,0.0,0,0.07632,-0.56145,34.85695,9.30646,53.0,71.0,31620.0,0.0,0.56911,0.00017,0.0,0.0,0.5
YHR023W,4,0.0011664932054867053,0.19452553143238055,2.450888827894756e-07,0.0,3.76056338028169,0.0,0.0,1,0.06691,-0.78247,45.76261,6.05536,311.0,291.0,147180.0,0.0,0.65813,3e-05,0.3167384070100485,0.0,0.5
YER105C,6,0.005162333649456454,0.20519750260298897,1.1201111250999564e-05,0.06666666666666667,4.0033670033670035,0.25,2.1142857142857143,0,0.09705,-0.2064,39.38911,6.04156,169.0,155.0,134075.0,0.0,0.8559,4e-05,0.0,0.0,0.5
YOR346W,1,0.0,0.1780763582983388,2.348714549369602e-08,0.0,1.0,0.5,0.0,0,0.07817,-0.45766,41.90092,8.71954,116.0,130.0,86980.0,0.0,0.77504,8e-05,0.0,0.0,0.5
YOL004W,11,0.0036982984240466377,0.193855941188465,4.839820020486642e-08,0.07272727272727272,10.254604550379199,1.0,28.485,0,0.08073,-0.74349,53.40048,5.38861,216.0,162.0,151135.0,0.0,0.86443,3e-05,0.0,0.0,0.5
YPL016W,15,0.014206522946155174,0.21698890466802204,1.0141241050674823e-06,0.3523809523809524,7.616616616616617,0.3333333333333333,17.22222222222222,1,0.06849,-0.66705,47.06653,8.87042,103.0,115.0,74690.0,0.0,0.50488,6e-05,0.3167384070100485,0.16241202693656576,0.5106616910835609
YBR117C,1,0.0,0.1780763582983388,2.348714549369602e-08,0.0,1.0,0.0,0.0,0,0.09985,-0.3511,35.40429,5.75226,82.0,68.0,93085.0,0.0,1.24066,8e-05,0.0,0.0,0.5
YER172C,11,0.012337263127594818,0.21530608519981564,2.036982993308898e-05,0.12727272727272726,9.25482233502538,1.0,5.357142857142857,1,0.08877,-0.32372,43.82049,5.34161,304.0,242.0,254770.0,0.0,1.03488,2e-05,0.3167384070100485,0.24054770888719992,0.5129958037107225
YPL215W,2,0.000834561931094839,0.18541315116210255,2.739414317852812e-08,0.0,1.9770580296896085,0.0,0.0,0,0.12836,-0.56179,40.98304,9.3631,41.0,53.0,52050.0,0.0,1.33177,0.00024,0.0,0.0,0.5
YDL013W,4,0.0029037709970218995,0.20212543170675884,1.9610984202621467e-05,0.0,2.5278622087132727,0.5,0.0,1,0.05816,-0.90355,52.50711,6.26752,103.0,98.0,32650.0,0.0,0.4594,9e-05,0.6832615929899515,0.2887195853553551,0.5571074610712897
YMR240C,5,0.0007841206704056566,0.19439124359016888,5.386791380868677e-07,0.1,4.849494949494949,1.0,2.207792207792208,1,0.06422,-1.00872,45.60115,8.66876,71.0,76.0,49890.0,0.0,0.99279,0.00017,0.6832615929899515,0.40591527534130006,0.5418512937500404
YLR090W,1,0.0,0.1605544685187189,8.261987267000467e-09,0.0,1.0,0.0,0.0,0,0.08715,-0.64793,30.71438,5.79938,71.0,60.0,42995.0,0.0,0.83736,0.00011,0.0,0.0,0.5
YOR319W,2,0.00039689387402933567,0.15781642994430042,1.4416447526347504e-08,0.0,1.0,1.0,5.5,1,0.11268,-0.37371,19.91418,9.14532,24.0,30.0,20985.0,0.0,0.85643,0.00037,0.6832615929899515,0.40591527534130006,0.70295763767065
YGR056W,11,0.005421484549145809,0.19035511443788625,7.860398226121486e-07,0.6545454545454545,2.0,1.0,39.84166666666667,0,0.09159,-0.70054,50.55357,6.09821,123.0,113.0,98765.0,0.0,0.92591,6e-05,0.0,0.0,0.5
YHR209W,1,0.0,0.1347595002395783,4.870636292405411e-10,0.0,0.0,0.0,0.0,0,0.13402,-0.39794,40.23306,5.7431,39.0,35.0,61475.0,0.0,1.8196,0.00017,0.0,0.0,0.0
YJR022W,47,0.051656851205550254,0.2306760924522308,2.3897325496018283e-05,0.009250693802035153,32.408862034239675,0.5,47.833333333333336,1,0.06422,-0.24495,25.6844,6.58221,17.0,17.0,8730.0,0.0,0.70487,0.00053,0.6832615929899515,0.2887195853553551,0.504454330810047
YDR228C,7,0.0066867740228635725,0.2093380639341878,4.183101475556644e-07,0.38095238095238093,6.630366492146597,1.0,2.25,1,0.07508,-0.70527,45.17669,7.88678,72.0,74.0,67030.0,0.0,0.9323,0.00011,0.6832615929899515,0.40591527534130006,0.5306103196423675
YGL096W,1,0.0,0.18452791705713462,3.253601823999421e-07,0.0,1.0,1.0,0.0,0,0.07971,-0.71848,56.6388,10.2276,17.0,34.0,24410.0,0.0,0.78095,0.00033,0.0,0.0,0.5
YHR034C,1,0.0,0.18452791705713462,3.253601823999421e-07,0.0,1.0,0.5,0.0,0,0.07267,-0.49244,56.02791,5.62958,58.0,50.0,38150.0,0.0,0.96536,0.00014,0.0,0.0,0.5
YHR035W,1,0.0,0.18452791705713462,3.253601823999421e-07,0.0,1.0,0.0,0.0,0,0.09841,-0.30984,45.84256,8.84528,63.0,77.0,67250.0,0.0,0.93007,0.00012,0.0,0.0,0.5
YIL173W,1,0.0,0.18452791705713462,3.253601823999421e-07,0.0,1.0,0.0,0.0,0,0.11168,-0.4153,33.84083,5.16412,232.0,180.0,177765.0,0.0,1.01914,3e-05,0.0,0.0,0.5
YNL050C,1,0.0,0.18452791705713462,3.253601823999421e-07,0.0,0.0,0.0,0.0,0,0.07407,-1.17963,55.65037,6.95355,51.0,51.0,17545.0,0.0,0.5581,0.00022,0.0,0.0,0.0
YOR076C,3,0.001967060336496555,0.19642523268603013,3.5177138570875453e-07,0.0,2.709643605870021,0.0,0.0,1,0.06827,-0.40402,39.84806,7.61432,89.0,90.0,56810.0,0.0,0.6701,9e-05,0.6832615929899515,0.0,0.5
YBR003W,1,0.0,0.18452791705713462,3.253601823999421e-07,0.0,1.0,0.0,0.0,0,0.05708,-0.2537,46.22939,8.97015,55.0,62.0,23545.0,0.0,0.44797,0.00017,0.0,0.0,0.5
YGL173C,8,0.022639187032448858,0.2263582005057777,3.765833381053482e-05,0.10714285714285714,6.679089026915114,0.0,0.631578947368421,0,0.09817,-0.60177,42.86173,7.04279,206.0,203.0,160160.0,0.0,0.91281,4e-05,0.0,0.0,0.5
YNR050C,1,0.0,0.18452791705713462,3.253601823999421e-07,0.0,1.0,0.0,0.0,0,0.08969,-0.14215,26.43139,5.09698,61.0,49.0,63300.0,0.0,1.29402,0.0001,0.0,0.0,0.5
YDR277C,3,0.002956724837531623,0.2083203561619438,3.570135352790963e-05,0.0,2.806136680613668,0.0,0.0,0,0.06928,-0.66605,65.36446,9.1441,46.0,54.0,49890.0,0.0,1.01692,0.00019,0.0,0.0,0.5
YNL118C,26,0.03160013457572328,0.22110232305152128,1.0898554129361647e-06,0.003076923076923077,22.816056910569106,0.0,3.482456140350877,1,0.06289,-0.79,52.44496,5.63031,125.0,109.0,67310.0,0.0,0.61942,5e-05,0.3167384070100485,0.0,0.5
YNR053C,7,0.0052693772076161235,0.2043042298926526,8.897739034487155e-07,0.19047619047619047,4.778761061946903,0.5,8.0,1,0.07407,-0.70041,39.94035,9.51617,66.0,87.0,62505.0,0.0,1.12646,0.00017,0.6832615929899515,0.2887195853553551,0.530208623282551
YER013W,3,0.0004140877801758481,0.17969980946342531,9.087295703848842e-08,0.0,1.0,1.0,0.0,1,0.07074,-0.47153,48.27129,7.79498,153.0,155.0,85620.0,0.0,0.65857,6e-05,0.3167384070100485,0.24054770888719992,0.6202738544436
YLR116W,13,0.00561416650280022,0.20519750260298897,3.4197528310065095e-07,0.038461538461538464,1.839080459770115,1.0,0.0,1,0.06303,-0.82899,61.47899,9.72284,44.0,69.0,27485.0,0.0,0.51826,0.00018,0.6832615929899515,0.40591527534130006,0.610358215483416
YJR066W,8,0.0063719502273986,0.18673050492651688,1.5788166281746093e-08,0.10714285714285714,2.735070575461455,0.0,4.923809523809523,0,0.08138,-0.16818,41.00398,6.81122,284.0,276.0,315115.0,0.0,1.12086,2e-05,0.0,0.0,0.5
YJR005W,5,0.0008450478840330348,0.1856576443443828,4.0451862643456477e-07,0.3,1.0,0.0,2.05,0,0.07571,-0.12671,47.13914,6.01361,93.0,85.0,55530.0,0.0,0.69022,7e-05,0.0,0.0,0.5
YDL156W,1,0.0,0.16785550625941517,6.455512884881738e-09,0.0,1.0,0.5,0.0,0,0.08046,-0.64617,39.55862,6.7923,77.0,76.0,54360.0,0.0,0.91894,0.00011,0.0,0.0,0.5
YDL161W,3,0.00123877197547673,0.19431459089159228,9.292527199553158e-07,0.0,2.27363184079602,0.0,0.0,0,0.07269,-1.10066,66.74229,5.63715,59.0,53.0,36580.0,0.0,0.69874,0.00011,0.0,0.0,0.5
YIL130W,3,0.00014278391721174,0.1872627028314946,4.94930178427903e-07,0.0,1.0,1.0,0.0,0,0.08091,-0.62469,49.40315,5.80695,106.0,94.0,74745.0,0.0,0.68712,5e-05,0.0,0.0,0.5
YMR065W,6,0.002170210531981769,0.18965911767577331,3.279405240458594e-08,0.06666666666666667,1.6205128205128205,0.6666666666666666,0.0,0,0.10119,-0.21925,36.07778,4.79706,73.0,51.0,77445.0,0.0,1.32522,8e-05,0.0,0.0,0.5
YML046W,2,0.0,0.17508680138606433,9.248072938843892e-09,1.0,0.0,1.0,0.0,1,0.13355,-0.35151,39.05169,8.50104,73.0,78.0,131960.0,0.0,1.76542,0.00011,0.3167384070100485,0.24054770888719992,0.5
YBR172C,2,0.0,0.17508680138606433,9.248072938843892e-09,1.0,0.0,0.0,0.0,0,0.05811,-0.75257,46.64162,8.83173,86.0,93.0,74160.0,0.0,0.9111,0.00011,0.0,0.0,0.0
YKL074C,9,0.005613275939379128,0.2038394219239206,7.198014495943796e-08,0.08333333333333333,2.5426356589147288,0.0,0.0,0,0.09488,-0.80873,38.7266,8.40912,70.0,74.0,54290.0,0.0,0.89797,0.00014,0.0,0.0,0.5
YPL105C,2,7.509256858131717e-05,0.18475276127137613,2.731406941556409e-07,0.0,1.0,0.0,0.0,0,0.05889,-0.82839,58.78257,7.57465,113.0,114.0,79215.0,0.0,0.83954,8e-05,0.0,0.0,0.5
YLR357W,10,0.0009627898885227434,0.18125307678200572,1.1666940927104512e-07,0.8,0.0,1.0,31.241666666666664,0,0.08436,-0.81845,46.15243,8.97089,116.0,128.0,106745.0,0.0,1.04347,9e-05,0.0,0.0,0.0
YDL043C,17,0.012320956984347105,0.20125864917340333,2.610682865397202e-07,0.007352941176470588,13.323076923076924,1.0,18.0,1,0.07519,-0.68195,44.27256,8.19366,35.0,37.0,23420.0,0.0,0.78274,0.00027,0.6832615929899515,0.40591527534130006,0.5152335409337093
YJL146W,1,0.0,0.16521056156267808,3.9069977444670285e-09,0.0,1.0,0.0,0.0,0,0.09168,-0.45437,48.32516,4.74384,60.0,38.0,72600.0,0.0,1.36426,9e-05,0.0,0.0,0.5
YMR302C,1,0.0,0.16521056156267808,3.9069977444670285e-09,0.0,1.0,0.0,0.0,0,0.08471,-0.39471,41.48506,8.98041,101.0,112.0,106730.0,0.0,1.10387,9e-05,0.0,0.0,0.5
YBR113W,1,0.0,0.16521056156267808,3.9069977444670285e-09,0.0,1.0,0.0,0.0,0,0.09375,0.29625,41.2,9.73639,9.0,24.0,16595.0,0.0,0.91697,0.00054,0.0,0.0,0.5
YDR131C,1,0.0,0.16521056156267808,3.9069977444670285e-09,0.0,1.0,0.0,4.0,0,0.13309,-0.27266,43.58493,6.65314,67.0,65.0,80230.0,0.0,1.22972,0.0001,0.0,0.0,0.5
YDR180W,4,0.0019844693701466785,0.16534914940057982,3.932112696545727e-09,0.0,1.0,0.5,0.0,1,0.0864,-0.12987,44.46224,6.39874,188.0,178.0,116990.0,0.0,0.68375,4e-05,0.3167384070100485,0.19390444008233815,0.5969522200411691
YDR386W,4,0.007721481264384555,0.2152355547067386,1.800846454329518e-05,0.0,3.8980827447023207,1.0,0.0,0,0.07753,-0.57468,48.05415,8.69171,89.0,98.0,61780.0,0.0,0.8544,0.00012,0.0,0.0,0.5
YDR409W,5,0.0017756925724059518,0.1927564257778518,7.555369280696432e-08,0.1,4.382758620689655,0.3333333333333333,0.0,0,0.0531,-0.78086,45.65134,6.46869,99.0,94.0,64050.0,0.0,0.63545,6e-05,0.0,0.0,0.5
YER113C,1,0.0,0.16521056156267808,3.9069977444670285e-09,0.0,1.0,0.0,0.0,0,0.14873,0.1034,35.85006,7.17157,66.0,66.0,147290.0,0.0,1.80625,9e-05,0.0,0.0,0.5
