protein,degree,betweenness,closeness,eigenvector,clustering,OS,P_Ci,GO_Nb,essential,phys_1,phys_2,phys_3,phys_4,phys_5,phys_6,phys_7,phys_8,phys_9,phys_10,N_c,Sim_Loc,Ortho_Sim_Loc
YLR347C,60,0.0034570506748570562,0.324167321796542,0.018224054021974415,0.04689265536723164,49.283838383838386,0.3333333333333333,115.04745532245532,1,0.07666,-0.01614,44.74626,4.51556,107.0,62.0,86635.0,0.0,0.91411,5e-05,0.13471888792096168,0.09594291819257511,0.5009733710009084
YNL007C,16,0.00016053048148801044,0.2954552497751712,0.012596023191977558,0.03333333333333333,16.0,0.5,3.2727272727272725,1,0.09943,-0.67017,47.40483,9.02252,36.0,41.0,24870.0,0.0,0.66162,0.00024,0.13471888792096168,0.10612484556922272,0.5033164014240382
YNL064C,102,0.006751390760238867,0.35567048524791317,0.10224739447015896,0.022325761987963502,101.2002002002002,0.0,279.3538373391316,0,0.07579,-0.53814,34.45064,5.95148,65.0,60.0,23265.0,0.0,0.52082,0.00013,0.0,0.0,0.5
YNL077W,5,6.927120709031871e-06,0.2582777527546447,0.0018529919019547778,0.0,5.0,0.5,0.0,0,0.08144,-0.63674,43.25987,6.47931,66.0,63.0,36060.0,0.0,0.61235,0.00011,0.0,0.0,0.5
YOR098C,45,0.004042539835806648,0.32251883654247526,0.014724308752496454,0.028282828282828285,32.973973973973976,0.3333333333333333,26.39585137085137,1,0.07156,-0.79563,42.1789,9.62897,91.0,123.0,13200.0,0.0,0.11622,8e-05,0.13471888792096168,0.09594291819257511,0.501454827954136
YOR151C,48,0.002868282468235798,0.3257268317310722,0.041089265879496115,0.07358156028368794,46.728658536585364,1.0,103.31055757967526,1,0.08415,-0.39077,44.01985,6.09235,170.0,153.0,109165.0,0.0,0.78678,4e-05,0.13471888792096168,0.1187244606175494,0.5012703602493168
YOR160W,9,7.13547021932697e-05,0.28067503925199444,0.002731828393156686,0.1111111111111111,3.748235294117647,1.0,7.285714285714286,1,0.09774,0.08169,38.68725,4.68829,126.0,77.0,120885.0,0.0,1.09157,4e-05,0.13471888792096168,0.1187244606175494,0.5158373809675011
YPL240C,63,0.002236531859639307,0.3301700247569919,0.06266864912010288,0.06451612903225806,61.53319919517103,0.0,197.83177655677656,0,0.08181,-0.57532,43.20145,4.84198,142.0,104.0,57300.0,0.0,0.70388,6e-05,0.0,0.0,0.5
YPR010C,22,0.00031131164653544653,0.2949682165128549,0.012886950727136148,0.06926406926406926,20.56326530612245,0.5,3.4761904761904763,1,0.09227,-0.39061,38.80184,7.56122,138.0,139.0,130260.0,0.0,0.95963,6e-05,0.13471888792096168,0.10612484556922272,0.502580447316838
YAL007C,25,0.0006446517858961288,0.29274496790460725,0.006641007839125452,0.13333333333333333,20.932781799379523,0.5,63.60000000000001,0,0.10233,0.14791,33.46744,4.99969,25.0,20.0,24660.0,0.0,1.0248,0.00021,0.0,0.0,0.5
YAR002C-A,6,0.0004773294837621395,0.2825586581145586,0.0022772273949530786,0.2,4.422273781902552,0.5,4.1,0,0.09589,-0.13059,32.19046,6.99969,27.0,27.0,31565.0,0.0,1.27674,0.00028,0.0,0.0,0.5
YBR036C,40,0.00048443625104795714,0.2809425886333606,0.008282343112598484,0.23717948717948717,35.50956696878147,0.5,234.9800865800865,0,0.10488,0.38341,35.70834,6.88934,29.0,29.0,62755.0,0.0,1.381,0.00015,0.0,0.0,0.5
YBR183W,34,0.000448944207182949,0.2707408476000947,0.00745628821592384,0.29411764705882354,29.011077542799597,0.3333333333333333,271.1666666666667,0,0.1519,0.31709,35.80003,8.44476,24.0,27.0,101925.0,0.0,2.79866,0.00023,0.0,0.0,0.5
YCL025C,36,0.0015495870146991018,0.2876854688612398,0.0075439443609265485,0.16984126984126985,33.14501510574018,0.0,190.58333333333331,0,0.12164,0.22701,35.37476,6.51056,54.0,51.0,104625.0,0.0,1.50171,9e-05,0.0,0.0,0.5
YDL054C,16,0.00033629830128212193,0.26623785141013623,0.003475067169989854,0.13333333333333333,10.328342245989305,0.0,10.756060606060608,0,0.11728,0.53971,36.4243,9.14618,21.0,31.0,83155.0,0.0,1.55241,0.00017,0.0,0.0,0.5
YDR087C,12,0.0004589849720808858,0.286468274767716,0.007709193214749248,0.2727272727272727,11.154554759467759,0.5,46.33333333333333,1,0.11871,-0.79532,41.14676,5.18365,54.0,45.0,64525.0,0.0,1.9434,0.00016,0.13471888792096168,0.10612484556922272,0.5047570184493086
YDR101C,18,0.00029007510901124,0.28527757932513537,0.004890675716495029,0.20261437908496732,17.749747729566096,0.5,43.55,0,0.05565,-0.23086,40.67403,6.74432,65.0,63.0,56475.0,0.0,0.86602,0.0001,0.0,0.0,0.5
YDR127W,25,0.0010768286213602314,0.3135179354037515,0.02962931278177634,0.09,23.901132852729145,0.0,56.11564685314685,0,0.07746,-0.1216,32.40668,5.888,191.0,165.0,163425.0,0.0,0.93518,3e-05,0.0,0.0,0.5
YEL002C,38,0.0008258586725938297,0.28198616195899107,0.007783241228425794,0.155049786628734,34.730110775427995,0.5,88.62056277056277,1,0.13256,-0.33186,36.25326,5.62384,53.0,45.0,79800.0,0.0,1.61568,0.00011,0.13471888792096168,0.10612484556922272,0.5015278506632969
YEL063C,48,0.0021070680748166305,0.28806589580218206,0.008569879907889308,0.16046099290780141,40.04431017119839,0.0,216.55000000000004,0,0.14746,0.33186,31.39442,8.55341,47.0,51.0,119915.0,0.0,1.82284,0.00013,0.0,0.0,0.5
YER110C,57,0.004114748673735084,0.3404450720722534,0.04171865984248122,0.02694235588972431,52.70180722891566,0.3333333333333333,61.86598124098123,0,0.07367,0.00036,40.232,4.5401,163.0,88.0,60835.0,0.0,0.49621,4e-05,0.0,0.0,0.5
YGL200C,45,0.0014506572468328902,0.29153555950700294,0.009075998006193967,0.16767676767676767,37.87713997985901,0.3333333333333333,250.03333333333327,0,0.133,-0.2197,30.32167,6.3006,24.0,22.0,23295.0,0.0,0.99841,0.00027,0.0,0.0,0.5
YGR060W,51,0.0017892074212576196,0.2901847634476632,0.010217472246575285,0.21490196078431373,49.24874118831823,0.5,409.2166666666668,1,0.18123,-0.10194,45.54178,8.17413,24.0,26.0,96425.0,0.0,2.64332,0.00022,0.13471888792096168,0.10612484556922272,0.50107743713858
YHR026W,33,0.0029789693910913808,0.29901707601380717,0.007783227526492648,0.2178030303030303,30.62134944612286,0.0,88.2595238095238,0,0.11737,0.91878,12.70094,8.3902,11.0,13.0,30285.0,0.0,1.34031,0.00037,0.0,0.0,0.5
YHR110W,17,0.00022440186526529105,0.2678747928618131,0.004105870677400458,0.3235294117647059,15.837615621788284,0.5,154.0,0,0.10377,-0.30094,28.34024,6.31708,29.0,27.0,14940.0,0.0,0.61612,0.00026,0.0,0.0,0.5
YHR140W,60,0.0029820697608403746,0.2959963446379957,0.012511515866028408,0.2497175141242938,53.804632426988924,0.5,2551.0,0,0.14226,0.28285,38.35444,9.65924,10.0,23.0,44600.0,0.0,1.64299,0.00036,0.0,0.0,0.5
YJL117W,46,0.0053602655623827215,0.31345909194740695,0.015310313477841868,0.2492753623188406,43.2134944612286,0.0,358.2,0,0.09325,0.00064,28.7981,9.61786,28.0,41.0,33015.0,0.0,0.9465,0.00028,0.0,0.0,0.5
YLR342W,23,0.0010855830848891205,0.2961888227528584,0.0060712658414860355,0.007905138339920948,16.922360248447205,0.0,2.5,0,0.1338,-0.10874,40.43761,6.84039,189.0,184.0,355135.0,0.0,1.65296,3e-05,0.0,0.0,0.5
YML012W,10,0.00024843380134813926,0.2648306002266162,0.001269563884641263,0.24444444444444444,2.3889739663093414,0.3333333333333333,16.75,0,0.08057,-0.25592,39.33839,5.35602,32.0,27.0,24200.0,0.0,1.0039,0.00022,0.0,0.0,0.5
YMR290C,29,0.0016746804141282352,0.3140878965450948,0.022859112406773702,0.21921182266009853,27.24448897795591,0.5,77.20180375180377,1,0.07723,-0.35465,37.61624,9.37982,57.0,73.0,26985.0,0.0,0.47579,0.00017,0.13471888792096168,0.10612484556922272,0.5019476387620097
YNL130C,13,0.000258783577557881,0.25481005572330534,0.002147750408171456,0.20512820512820512,5.010288065843621,0.3333333333333333,38.583333333333336,0,0.17048,0.54071,42.83667,6.09503,24.0,19.0,73770.0,0.0,1.64559,0.00014,0.0,0.0,0.5
YPL076W,62,0.001555779932438364,0.2915185969446298,0.012046640728727487,0.23638286620835536,56.60926485397785,0.0,631.5833333333334,1,0.15357,0.39393,42.91079,9.42548,18.0,27.0,72100.0,0.0,2.21322,0.00029,0.13471888792096168,0.0,0.5
YPL211W,11,0.00036445052438662055,0.28130538014077555,0.0057007928627393215,0.16363636363636364,8.774863387978142,0.3333333333333333,5.571428571428571,1,0.09392,-0.15304,33.31271,9.27643,19.0,24.0,14565.0,0.0,0.71466,0.00046,0.13471888792096168,0.09594291819257511,0.5054669180561843
YPL264C,36,0.00033290903288427944,0.27738084070682345,0.008014683728927233,0.28095238095238095,33.478348439073514,0.0,167.92748917748918,0,0.11615,0.53881,40.04306,7.6546,21.0,22.0,73505.0,0.0,1.8514,0.00019,0.0,0.0,0.5
YPR201W,11,0.00027052991207229246,0.24986685246795096,0.0016551888339545065,0.10909090909090909,9.213024282560706,0.0,9.2,0,0.12129,0.60866,35.18396,8.867,24.0,31.0,77445.0,0.0,1.68921,0.00019,0.0,0.0,0.5
YAL009W,6,7.076844966411096e-05,0.25637466743526344,0.0010349288277164432,0.0,2.726798748696559,0.6666666666666666,0.0,0,0.11969,-0.32085,51.829,10.02911,25.0,41.0,45170.0,0.0,1.50001,0.00033,0.0,0.0,0.5
YDL040C,4,3.8601150513411656e-05,0.24953085938977804,0.0009944547212733263,0.16666666666666666,3.066326530612245,0.0,2.0,0,0.11241,-0.57787,30.16341,8.85944,119.0,133.0,115030.0,0.0,1.16305,9e-05,0.0,0.0,0.5
YDR211W,17,0.00013951952400721807,0.29095993761250594,0.009963191862655865,0.16911764705882354,9.024043715846995,0.0,20.96212121212121,1,0.08427,-0.39874,47.33385,4.65582,122.0,75.0,95490.0,0.0,1.17656,6e-05,0.13471888792096168,0.0,0.5
YHR004C,2,9.415578081759807e-07,0.2249508429797222,0.0001572432910623071,0.0,1.0,0.6666666666666666,0.0,0,0.08072,-0.47489,47.74664,8.9931,53.0,61.0,50350.0,0.0,0.99426,0.00018,0.0,0.0,0.5
YJL176C,13,0.000274582334909549,0.26878011510580724,0.0018212366227182773,0.20512820512820512,11.977977977977979,1.0,2.0,0,0.05697,-0.94739,46.88656,4.77521,145.0,94.0,53080.0,0.0,0.57121,5e-05,0.0,0.0,0.5
YAL010C,4,5.2556767121590435e-05,0.2674601038641623,0.0029768329577551434,0.0,0.0,0.3333333333333333,0.0,0,0.11359,-0.47383,35.97548,6.83722,50.0,49.0,74425.0,0.0,1.32343,0.00012,0.0,0.0,0.0
YFL048C,10,3.414508390615598e-05,0.25535549287433634,0.0021045768189404063,0.15555555555555556,6.105263157894737,0.3333333333333333,15.87878787878788,0,0.08764,-0.40966,25.21191,5.74969,57.0,54.0,54110.0,0.0,1.07511,0.00011,0.0,0.0,0.5
YJL066C,46,0.0014272655539876002,0.3211750080568816,0.047615168449402015,0.02705314009661836,39.93762575452716,0.0,203.0,0,0.09921,-0.63849,35.5425,5.58905,37.0,32.0,35200.0,0.0,1.2364,0.0002,0.0,0.0,0.5
YMR203W,7,2.1308541265003883e-05,0.24206832185174185,0.00037071719489606896,0.09523809523809523,0.0,0.0,6.666666666666667,1,0.09044,-0.19587,35.04832,5.34003,35.0,29.0,33390.0,0.0,0.79428,0.00013,0.13471888792096168,0.0,0.0
YPL235W,76,0.00755654263403969,0.3450165353041835,0.07116432800298843,0.04,67.93655589123867,1.0,208.455772005772,1,0.04459,-0.26879,38.79958,5.21124,69.0,55.0,17670.0,0.0,0.34237,0.0001,0.8652811120790382,0.4638877788852951,0.5034141249346519
YAL011W,12,0.00021923206630029114,0.28581461070663733,0.0034879074006068616,0.12121212121212122,9.830366492146597,1.0,8.071428571428571,0,0.0544,-1.10736,60.39984,9.18475,109.0,125.0,54235.0,0.0,0.74793,0.00013,0.0,0.0,0.5
YBL007C,139,0.021034280267610492,0.3493954062543482,0.038452557588580516,0.029715358148264,99.0969696969697,0.2,153.39256854256854,0,0.06672,-0.65442,49.9037,5.65753,140.0,126.0,95395.0,0.0,0.70223,4e-05,0.0,0.0,0.5
YDL181W,8,0.0005544280941284753,0.2830375169860667,0.0066693625299113915,0.07142857142857142,6.536217303822937,0.0,4.666666666666667,0,0.05882,-1.11059,62.52129,10.07208,13.0,19.0,1490.0,0.0,0.15096,0.00102,0.0,0.0,0.5
YDR225W,37,0.00254013302361616,0.31191745786511565,0.014303185976579869,0.06456456456456457,32.9364278506559,0.5,74.33333333333333,0,0.0303,-0.31591,53.03106,10.6734,8.0,21.0,4470.0,0.0,0.31954,0.00076,0.0,0.0,0.5
YDR334W,16,0.0002877732353731484,0.2927107627322167,0.007909768206394356,0.325,7.3728115345005145,1.0,57.1265664160401,0,0.07926,-0.7531,44.02941,5.86005,252.0,222.0,126780.0,0.0,0.72642,3e-05,0.0,0.0,0.5
YER081W,96,0.01874195795123711,0.328653993157583,0.021899196698717316,0.002412280701754386,90.51153460381144,0.0,29.75,0,0.06397,-0.05075,43.29832,5.35785,49.0,36.0,37985.0,0.0,0.742,0.0001,0.0,0.0,0.5
YGR002C,22,0.0005036412114427189,0.295402990725037,0.00830921222954395,0.2943722943722944,8.48712667353244,1.0,135.53333333333333,1,0.08613,-0.85903,55.0454,9.35541,62.0,77.0,50100.0,0.0,0.90741,0.00017,0.13471888792096168,0.1187244606175494,0.5069943848598253
YHR158C,20,0.001236520611159408,0.30408024068018163,0.008174660392298739,0.11578947368421053,10.7973713033954,0.0,95.65800865800868,0,0.06529,-0.73969,42.52337,5.20721,180.0,132.0,93335.0,0.0,0.71198,4e-05,0.0,0.0,0.5
YIR018W,5,0.00023794499749797986,0.25144685966512864,0.0007365939441459312,0.0,2.730255164034022,0.5,0.0,0,0.02857,-1.04163,56.25224,8.91217,36.0,43.0,12460.0,0.0,0.43895,0.00031,0.0,0.0,0.5
YNL107W,20,0.0004445628713396254,0.2953333407419601,0.0090758743037314,0.3473684210526316,8.54788877445932,0.5,133.79999999999998,0,0.09292,-0.64823,49.61642,5.25555,36.0,27.0,23045.0,0.0,0.887,0.0002,0.0,0.0,0.5
YOL012C,20,0.0006477274739674048,0.2986605940443105,0.008971081915977046,0.24210526315789474,17.345005149330586,0.5,50.10714285714285,0,0.02985,-0.34851,40.54403,10.6507,10.0,27.0,4470.0,0.0,0.31297,0.00075,0.0,0.0,0.5
YOR127W,12,0.0009410025049270165,0.2928476314037847,0.004358572212236603,0.09090909090909091,7.754516471838469,0.0,28.23976023976024,0,0.06356,-0.67269,57.20089,6.02948,135.0,124.0,76315.0,0.0,0.67637,5e-05,0.0,0.0,0.5
YOR269W,13,0.0003618649363200902,0.28959771837970943,0.0116964463753843,0.02564102564102564,10.70866935483871,0.3333333333333333,0.0,0,0.09312,-0.36215,28.89838,7.31879,52.0,52.0,100140.0,0.0,1.75993,0.00013,0.0,0.0,0.5
YAL012W,5,0.00027500791475546535,0.27971918968777093,0.0035653671711901027,0.0,4.594039054470709,0.0,0.0,1,0.06599,-0.14442,30.46345,6.05597,42.0,35.0,25900.0,0.0,0.60882,0.00014,0.13471888792096168,0.0,0.5
